C103.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      1236   0      [] 	[] 	[]
1    31    2     0      1236   0      [1,2,3,4] 	[0,1,2,3] 	[5,0,3,0,0]
2    61    52    0      1236   0      [1,2,3,4] 	[1] 	[5,0,4,5,0]
3    0     23    0      1236   0      [0,1] 	[] 	[0,0,0,4,2]
4    13    70    0      1236   0      [2,3] 	[0,1,2,3] 	[5,0,3,0,0]
5    46    18    0      1236   0      [0,3] 	[2,4] 	[3,0,3,0,3]
6    44    93    0      1236   0      [0,2,3,4] 	[0,1,2,4] 	[3,0,0,5,2]
7    21    96    0      1236   0      [0,1,2,4] 	[1,2,4] 	[5,0,2,3,4]
8    5     91    0      1236   0      [1,2,3,4] 	[1,2] 	[4,0,3,2,0]
9    42    19    0      1236   0      [0,2,3,4] 	[0,1,2,3] 	[2,0,0,5,4]
10   20    8     0      1236   0      [1,3,4] 	[0,2,3] 	[5,0,4,3,0]
11   100   1     0      1236   0      [1,3] 	[1,2,3] 	[4,0,4,4,0]
12   22    68    0      1236   0      [3,4] 	[0,2,3] 	[3,0,0,2,0]
13   61    82    0      1236   0      [0,1,2] 	[0,1] 	[0,0,2,2,4]
14   47    5     0      1236   0      [2,4] 	[0,1,3] 	[3,0,4,5,0]
15   59    31    0      1236   0      [0,1,3,4] 	[0,1,2,4] 	[2,0,3,4,0]
16   17    94    0      1236   0      [0,1,3,4] 	[0,1,2,3,4] 	[5,0,3,3,5]
17   73    58    0      1236   0      [1,2,3,4] 	[] 	[3,0,5,5,0]
18   88    2     0      1236   0      [0,1,2,4] 	[0,3] 	[2,0,2,4,5]
19   34    44    0      1236   0      [1,2,3,4] 	[0,1,2,3] 	[0,0,2,4,0]
20   51    68    0      1236   0      [1,2] 	[0,1,2] 	[0,0,2,3,0]
21   8     3     0      1236   0      [0,1,2,3] 	[] 	[0,0,4,5,3]
22   70    87    0      1236   0      [0,1] 	[2] 	[0,0,0,3,2]
23   89    79    0      1236   0      [0,1,2,4] 	[0] 	[5,0,3,3,2]
24   33    14    0      1236   0      [1,2,4] 	[0,1,2,3] 	[3,0,5,5,0]
25   68    11    0      1236   0      [2,3] 	[0,1,3] 	[5,0,4,0,0]
26   45    68    0      1127   90     [2] 	[1] 	[0,0,1,0,0]
27   45    70    0      1125   90     [0] 	[] 	[0,0,0,0,1]
28   42    66    0      1129   90     [1] 	[1,2] 	[0,0,0,0,0]
29   42    68    727    782    90     [4] 	[1] 	[1,0,0,1,0]
30   42    65    0      1130   90     [0] 	[1] 	[0,0,0,0,1]
31   40    69    621    702    90     [0] 	[1] 	[0,0,0,0,1]
32   40    66    0      1130   90     [1] 	[1] 	[0,0,0,1,0]
33   38    68    255    324    90     [0] 	[] 	[0,0,0,0,1]
34   38    70    534    605    90     [4] 	[] 	[0,0,0,1,0]
35   35    66    357    410    90     [1] 	[2] 	[0,0,0,1,0]
36   35    69    448    505    90     [0] 	[0] 	[0,0,0,0,1]
37   25    85    0      1107   90     [0] 	[0] 	[0,0,0,0,1]
38   22    75    30     92     90     [1] 	[] 	[0,0,0,1,0]
39   22    85    0      1106   90     [2] 	[0] 	[0,0,0,0,0]
40   20    80    384    429    90     [3] 	[2,3] 	[0,0,0,0,0]
41   20    85    0      1105   90     [1] 	[1,2] 	[0,0,0,1,0]
42   18    75    99     148    90     [2] 	[1] 	[0,0,1,0,0]
43   15    75    0      1110   90     [2] 	[0] 	[0,0,0,0,0]
44   15    80    0      1106   90     [3] 	[] 	[0,0,0,0,0]
45   30    50    0      1136   90     [2] 	[] 	[0,0,1,0,0]
46   30    52    0      1135   90     [1] 	[] 	[0,0,0,0,0]
47   28    52    812    883    90     [3] 	[2,3] 	[1,0,1,0,0]
48   28    55    732    777    90     [3] 	[] 	[1,0,1,0,0]
49   25    50    0      1131   90     [2] 	[0,1] 	[0,0,0,0,0]
50   25    52    169    224    90     [0] 	[] 	[0,0,0,0,1]
51   25    55    0      1130   90     [0] 	[] 	[0,0,0,0,0]
52   23    52    261    316    90     [2] 	[] 	[0,0,1,0,0]
53   23    55    0      1128   90     [0] 	[4] 	[0,0,0,0,1]
54   20    50    0      1126   90     [4] 	[0] 	[0,0,0,0,0]
55   20    55    449    504    90     [2] 	[] 	[0,0,0,0,0]
56   10    35    0      1112   90     [2] 	[1] 	[0,0,1,0,0]
57   10    40    0      1114   90     [0] 	[] 	[0,0,0,0,0]
58   8     40    87     158    90     [0] 	[0,1] 	[0,0,0,0,0]
59   8     45    0      1113   90     [0] 	[] 	[0,0,0,0,0]
60   5     35    283    344    90     [2] 	[0] 	[0,0,1,0,0]
61   5     45    665    716    90     [3] 	[] 	[0,0,1,0,0]
62   2     40    0      1106   90     [1] 	[1,2] 	[0,0,0,1,0]
63   0     40    479    522    90     [0] 	[] 	[0,0,0,0,1]
64   0     45    567    624    90     [3] 	[] 	[1,0,1,0,0]
65   35    30    264    321    90     [1] 	[2] 	[0,0,0,0,0]
66   35    32    166    235    90     [3] 	[2] 	[1,0,1,0,0]
67   33    32    68     149    90     [1] 	[2] 	[0,0,0,1,0]
68   33    35    0      1129   90     [1] 	[1,2] 	[0,0,0,1,0]
69   32    30    359    412    90     [4] 	[] 	[1,0,0,1,0]
70   30    30    541    600    90     [1] 	[] 	[0,0,0,1,0]
71   30    32    0      1125   90     [0] 	[] 	[0,0,0,0,1]
72   30    35    0      1127   90     [3] 	[2] 	[1,0,0,0,0]
73   28    30    0      1122   90     [4] 	[3] 	[1,0,0,1,0]
74   28    35    1001   1066   90     [4] 	[3] 	[0,0,0,1,0]
75   26    32    0      1123   90     [1] 	[1] 	[0,0,0,0,0]
76   25    30    0      1121   90     [4] 	[1] 	[0,0,0,0,0]
77   25    35    0      1124   90     [3] 	[2,3] 	[1,0,1,0,0]
78   44    5     286    347    90     [0] 	[0,1] 	[0,0,0,0,1]
79   42    10    0      1105   90     [1] 	[1,2] 	[0,0,0,1,0]
80   42    15    95     158    90     [1] 	[1,2] 	[0,0,0,1,0]
81   40    5     385    436    90     [4] 	[1] 	[1,0,0,1,0]
82   40    15    0      1111   90     [3] 	[2,3] 	[1,0,1,0,0]
83   38    5     471    534    90     [1] 	[] 	[0,0,0,1,0]
84   38    15    0      1110   90     [2] 	[] 	[0,0,1,0,0]
85   35    5     0      1100   90     [3] 	[] 	[0,0,0,0,0]
86   50    30    0      1123   90     [3] 	[] 	[0,0,1,0,0]
87   50    35    262    317    90     [0] 	[0,1] 	[0,0,0,0,0]
88   50    40    0      1131   90     [2] 	[0,1] 	[0,0,1,0,0]
89   48    30    632    693    90     [1] 	[2] 	[0,0,0,0,0]
90   48    40    76     129    90     [4] 	[1] 	[0,0,0,0,0]
91   47    35    826    875    90     [4] 	[] 	[0,0,0,1,0]
92   47    40    12     77     90     [2] 	[0,1] 	[0,0,1,0,0]
93   45    30    734    777    90     [0] 	[1] 	[0,0,0,0,1]
94   45    35    916    969    90     [2] 	[1] 	[0,0,1,0,0]
95   95    30    387    456    90     [0] 	[0,1] 	[0,0,0,0,1]
96   95    35    0      1088   90     [2] 	[0] 	[0,0,1,0,0]
97   53    30    0      1122   90     [4] 	[] 	[0,0,0,1,0]
98   92    30    0      1090   90     [4] 	[] 	[0,0,0,0,0]
99   53    35    353    412    90     [1] 	[] 	[0,0,0,1,0]
100  45    65    0      1130   90     [3] 	[3] 	[0,0,0,0,0]
101  90    35    203    260    90     [3] 	[] 	[1,0,0,0,0]
102  88    30    574    643    90     [3] 	[3] 	[1,0,1,0,0]
103  88    35    109    170    90     [2] 	[0,1] 	[0,0,0,0,0]
104  87    30    668    731    90     [1] 	[1] 	[0,0,0,1,0]
105  85    25    769    820    90     [0] 	[1] 	[0,0,0,0,1]
106  85    35    0      1098   90     [1] 	[1] 	[0,0,0,1,0]
107  75    55    0      1110   90     [2] 	[0,1] 	[0,0,1,0,0]
108  72    55    0      1113   90     [2] 	[1] 	[0,0,0,0,0]
109  70    58    458    523    90     [3] 	[2,3] 	[0,0,0,0,0]
110  68    60    0      1116   90     [1] 	[1,2] 	[0,0,0,0,0]
111  66    55    0      1119   90     [2] 	[0] 	[0,0,1,0,0]
112  65    55    85     144    90     [4] 	[1,3] 	[1,0,0,1,0]
113  65    60    645    708    90     [2] 	[] 	[0,0,1,0,0]
114  63    58    0      1121   90     [4] 	[] 	[0,0,0,0,0]
115  60    55    0      1125   90     [3] 	[2] 	[0,0,0,0,0]
116  60    60    0      1123   90     [0] 	[] 	[0,0,0,0,1]
117  67    85    368    441    90     [2] 	[0] 	[0,0,0,0,0]
118  65    85    475    518    90     [0] 	[4] 	[0,0,0,0,1]
119  65    82    0      1105   90     [1] 	[] 	[0,0,0,1,0]
120  62    80    0      1108   90     [1] 	[2] 	[0,0,0,1,0]
121  60    80    0      1109   90     [1] 	[] 	[0,0,0,1,0]
122  60    85    0      1105   90     [4] 	[0,3] 	[1,0,0,0,0]
123  58    75    0      1115   90     [2] 	[0,1] 	[0,0,1,0,0]
124  55    80    743    820    90     [0] 	[] 	[0,0,0,0,1]
125  55    85    647    726    90     [2] 	[1] 	[0,0,1,0,0]
