R106.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    99    48    0      230    0      [0,1,2,4] 	[0,1,2,4] 	[2,0,0,5,4]
2    64    88    0      230    0      [1,4] 	[0,2,4] 	[2,0,0,0,3]
3    12    55    0      230    0      [2,3] 	[0,1,3] 	[5,0,0,5,0]
4    29    50    0      230    0      [1,2,3,4] 	[1] 	[4,0,0,3,2]
5    23    22    0      230    0      [0,1,3,4] 	[1,2,3,4] 	[3,0,0,3,5]
6    0     86    0      230    0      [0,1,2] 	[0,1] 	[3,0,0,4,0]
7    74    41    0      230    0      [1,3,4] 	[1,3,4] 	[2,0,0,4,5]
8    91    65    0      230    0      [0,1,3] 	[0,1,3] 	[3,0,0,2,0]
9    84    85    0      230    0      [0,3,4] 	[0,1,3] 	[4,0,0,2,2]
10   69    8     0      230    0      [0,1,2,4] 	[0,1,2] 	[2,0,0,3,5]
11   59    97    0      230    0      [0,1,3,4] 	[0,2,3] 	[4,0,0,3,3]
12   7     44    0      230    0      [3,4] 	[1,2,3,4] 	[0,0,0,3,5]
13   4     0     0      230    0      [0,3] 	[1,2,3,4] 	[4,0,0,2,0]
14   25    77    0      230    0      [0,2,3,4] 	[4] 	[3,0,0,2,5]
15   50    68    0      230    0      [0,2] 	[0,4] 	[3,0,0,5,0]
16   0     9     0      230    0      [0,1,2,4] 	[0,1,2] 	[3,0,0,3,0]
17   36    10    0      230    0      [1,2,3] 	[1,2,3,4] 	[2,0,0,3,0]
18   31    98    0      230    0      [0,1,2,3] 	[4] 	[2,0,0,5,0]
19   66    65    0      230    0      [3,4] 	[1,3,4] 	[3,0,0,3,4]
20   66    54    0      230    0      [1,3,4] 	[3] 	[5,0,0,5,2]
21   11    61    0      230    0      [1,2,4] 	[0,1,2] 	[5,0,0,4,4]
22   94    44    0      230    0      [0,2] 	[0,1] 	[3,0,0,5,0]
23   28    92    0      230    0      [0,2,3,4] 	[0,1,2,4] 	[2,0,0,0,2]
24   100   40    0      230    0      [0,2,3,4] 	[0,1,3,4] 	[2,0,0,3,3]
25   91    37    0      230    0      [1,2,4] 	[] 	[4,0,0,5,0]
26   41    49    0      204    10     [3] 	[3] 	[0,0,0,0,0]
27   35    17    0      202    10     [2] 	[] 	[0,0,0,1,0]
28   55    45    0      197    10     [1] 	[] 	[1,0,0,1,0]
29   55    20    139    169    10     [4] 	[2,4] 	[0,0,0,0,1]
30   15    30    0      199    10     [4] 	[] 	[0,0,0,0,1]
31   25    30    89     119    10     [1] 	[] 	[0,0,0,1,0]
32   20    50    0      198    10     [4] 	[1,2] 	[0,0,0,0,1]
33   10    43    85     115    10     [0] 	[] 	[1,0,0,0,0]
34   55    60    87     117    10     [0] 	[2] 	[1,0,0,0,0]
35   30    60    114    144    10     [4] 	[1,4] 	[0,0,0,0,1]
36   20    65    57     87     10     [0] 	[1] 	[0,0,0,0,0]
37   50    35    0      205    10     [0] 	[1,4] 	[1,0,0,0,0]
38   30    25    149    179    10     [3] 	[1,3] 	[0,0,0,0,0]
39   15    10    32     62     10     [2] 	[0] 	[0,0,0,0,0]
40   30    5     51     81     10     [2] 	[0,1] 	[0,0,0,0,0]
41   10    20    65     95     10     [1] 	[2,4] 	[1,0,0,1,0]
42   5     30    147    177    10     [3] 	[] 	[0,0,0,1,0]
43   20    40    77     107    10     [2] 	[] 	[0,0,0,1,0]
44   15    60    66     96     10     [3] 	[] 	[0,0,0,1,0]
45   45    65    116    146    10     [4] 	[2] 	[0,0,0,0,1]
46   45    20    0      201    10     [2] 	[0,1] 	[0,0,0,1,0]
47   45    10    87     117    10     [4] 	[1,2] 	[0,0,0,0,0]
48   55    5     58     88     10     [2] 	[0] 	[0,0,0,1,0]
49   65    35    143    173    10     [4] 	[] 	[0,0,0,0,1]
50   65    20    156    186    10     [1] 	[] 	[0,0,0,1,0]
51   45    30    0      208    10     [1] 	[4] 	[1,0,0,1,0]
52   35    40    27     57     10     [2] 	[0] 	[0,0,0,1,0]
53   41    37    29     59     10     [1] 	[2] 	[1,0,0,1,0]
54   64    42    53     83     10     [2] 	[1] 	[0,0,0,1,0]
55   40    60    61     91     10     [3] 	[3] 	[0,0,0,0,0]
56   31    52    0      202    10     [3] 	[] 	[1,0,0,1,0]
57   35    69    131    161    10     [3] 	[1] 	[1,0,0,1,0]
58   53    52    27     57     10     [2] 	[] 	[0,0,0,1,0]
59   65    55    0      183    10     [1] 	[2] 	[1,0,0,0,0]
60   63    65    133    163    10     [3] 	[3] 	[0,0,0,0,0]
61   2     60    41     71     10     [0] 	[2] 	[1,0,0,0,0]
62   20    20    0      198    10     [4] 	[] 	[0,0,0,0,1]
63   5     5     73     103    10     [2] 	[1] 	[0,0,0,0,0]
