R205.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    64    99    0      1000   0      [0,1,3,4] 	[1,4] 	[0,4,3,0,0]
2    52    77    0      1000   0      [0,3,4] 	[0,1,2,3] 	[0,2,4,0,0]
3    61    99    0      1000   0      [0,1,2,3] 	[0] 	[4,5,5,0,2]
4    65    95    0      1000   0      [0,1,2,3] 	[0,2,3,4] 	[4,4,4,0,2]
5    60    28    0      1000   0      [1,2] 	[1] 	[5,4,0,0,0]
6    63    23    0      1000   0      [0,1,3,4] 	[0,1,2,3,4] 	[0,3,4,0,0]
7    61    41    0      1000   0      [0,1,2,4] 	[1,2,3,4] 	[2,5,0,0,4]
8    99    69    0      1000   0      [0,1,4] 	[2,3] 	[0,4,0,0,0]
9    32    84    0      1000   0      [0,1,3,4] 	[3] 	[0,5,5,0,0]
10   8     16    0      1000   0      [0,1,4] 	[2,4] 	[0,5,0,0,0]
11   85    65    0      1000   0      [0,2,3,4] 	[] 	[5,2,2,0,3]
12   39    21    0      1000   0      [2,3] 	[3,4] 	[0,4,2,0,4]
13   33    18    0      1000   0      [0,3,4] 	[0,1,2] 	[0,3,3,0,0]
14   97    98    0      1000   0      [1,3,4] 	[0,1,2,3,4] 	[0,4,4,0,0]
15   27    63    0      1000   0      [0,1,2,3] 	[0,1,2,3,4] 	[3,2,4,0,5]
16   61    46    0      1000   0      [1,4] 	[0,1,2,4] 	[0,5,0,0,0]
17   83    72    0      1000   0      [0,1] 	[2,4] 	[0,4,0,0,0]
18   81    33    0      1000   0      [1,3,4] 	[0,1,2,3,4] 	[0,5,2,0,0]
19   76    86    0      1000   0      [0,1,2,3] 	[0,1,4] 	[5,4,3,0,3]
20   56    45    0      1000   0      [0,4] 	[1,4] 	[0,5,0,0,0]
21   67    78    0      1000   0      [1,2,3,4] 	[1,2,4] 	[3,2,3,0,4]
22   70    92    0      1000   0      [0,1] 	[1,2,3,4] 	[0,5,0,0,0]
23   68    18    0      1000   0      [2,3,4] 	[0,2,3,4] 	[2,4,3,0,4]
24   88    4     0      1000   0      [0,1,2,4] 	[] 	[2,4,0,0,3]
25   58    15    0      1000   0      [1,2,3,4] 	[2] 	[0,4,4,0,0]
26   41    49    658    898    10     [4] 	[0] 	[0,1,0,0,0]
27   35    17    93     333    10     [4] 	[2] 	[0,0,0,0,0]
28   55    45    436    676    10     [0] 	[2] 	[0,1,0,0,0]
29   55    20    620    860    10     [3] 	[2] 	[0,0,0,0,0]
30   15    30    20     260    10     [4] 	[2] 	[0,0,0,0,0]
31   25    30    345    585    10     [1] 	[1,2] 	[0,0,0,0,0]
32   20    50    251    491    10     [0] 	[1,2] 	[0,1,0,0,0]
33   10    43    323    563    10     [1] 	[4] 	[0,1,0,0,0]
34   55    60    329    569    10     [2] 	[0,2] 	[0,0,0,0,0]
35   30    60    485    725    10     [0] 	[1] 	[0,0,0,0,0]
36   20    65    146    386    10     [2] 	[0] 	[1,0,0,0,1]
37   50    35    167    407    10     [1] 	[2] 	[0,0,0,0,0]
38   30    25    639    879    10     [2] 	[0,2] 	[1,0,0,0,1]
39   15    10    32     272    10     [2] 	[2] 	[1,0,0,0,0]
40   30    5     118    358    10     [4] 	[] 	[0,1,0,0,0]
41   10    20    203    443    10     [2] 	[0] 	[1,0,0,0,0]
42   5     30    682    922    10     [1] 	[] 	[0,0,0,0,0]
43   20    40    286    526    10     [0] 	[] 	[0,1,0,0,0]
44   15    60    204    444    10     [1] 	[4] 	[0,1,0,0,0]
45   45    65    504    744    10     [0] 	[2] 	[0,0,0,0,0]
46   45    20    153    393    10     [3] 	[4] 	[0,0,0,0,0]
47   45    10    332    572    10     [1] 	[2] 	[0,1,0,0,0]
48   55    5     146    386    10     [1] 	[2,4] 	[0,1,0,0,0]
49   65    35    656    896    10     [2] 	[] 	[1,0,0,0,1]
50   65    20    716    956    10     [2] 	[3] 	[0,0,0,0,0]
51   45    30    508    748    10     [2] 	[] 	[0,0,0,0,1]
52   35    40    60     300    10     [0] 	[] 	[0,1,0,0,0]
53   41    37    65     305    10     [0] 	[] 	[0,1,0,0,0]
54   64    42    132    372    10     [3] 	[] 	[0,0,0,0,0]
55   40    60    187    427    10     [4] 	[] 	[0,1,0,0,0]
56   31    52    94     334    10     [0] 	[2,3] 	[0,1,0,0,0]
57   35    69    599    839    10     [2] 	[2] 	[0,0,0,0,0]
58   53    52    24     264    10     [0] 	[1] 	[0,0,0,0,0]
59   65    55    452    692    10     [3] 	[3,4] 	[0,1,0,0,0]
60   63    65    630    870    10     [2] 	[0,3] 	[1,0,0,0,0]
61   2     60    41     281    10     [4] 	[] 	[0,1,0,0,0]
62   20    20    530    770    10     [0] 	[] 	[0,1,0,0,0]
63   5     5     234    474    10     [0] 	[2] 	[0,0,0,0,0]
64   60    12    33     273    10     [3] 	[] 	[0,0,0,0,0]
65   40    25    279    519    10     [2] 	[3] 	[0,0,0,0,0]
66   42    7     334    574    10     [3] 	[2,3] 	[0,0,0,0,0]
67   24    12    25     265    10     [4] 	[0,4] 	[0,1,0,0,0]
68   23    3     543    783    10     [3] 	[2,3] 	[0,1,1,0,0]
69   11    14    167    407    10     [4] 	[4] 	[0,0,0,0,0]
70   6     38    29     269    10     [3] 	[4] 	[0,1,1,0,0]
71   2     48    452    692    10     [3] 	[3] 	[0,1,0,0,0]
72   8     56    48     288    10     [4] 	[2] 	[0,0,0,0,0]
73   13    52    720    960    10     [0] 	[2] 	[0,1,0,0,0]
74   6     68    401    641    10     [0] 	[1] 	[0,1,0,0,0]
75   47    47    475    715    10     [3] 	[3] 	[0,0,0,0,0]
76   49    58    281    521    10     [1] 	[1,4] 	[0,1,0,0,0]
77   27    43    117    357    10     [1] 	[1,2] 	[0,1,0,0,0]
78   37    31    332    572    10     [3] 	[2] 	[0,0,0,0,0]
79   57    29    568    808    10     [3] 	[3,4] 	[0,1,0,0,0]
80   63    23    560    800    10     [3] 	[2,3] 	[0,1,1,0,0]
81   53    12    519    759    10     [3] 	[2] 	[0,1,1,0,0]
82   32    12    356    596    10     [0] 	[] 	[0,1,0,0,0]
83   36    26    740    980    10     [0] 	[] 	[0,1,0,0,0]
84   21    24    17     257    10     [4] 	[4] 	[0,1,0,0,0]
85   17    34    672    912    10     [0] 	[2,3] 	[0,1,0,0,0]
86   12    24    214    454    10     [0] 	[3] 	[0,0,0,0,0]
87   24    58    113    353    10     [4] 	[] 	[0,0,0,0,0]
88   27    69    34     274    10     [2] 	[0,2] 	[0,0,0,0,1]
89   15    77    154    394    10     [2] 	[0] 	[0,0,0,0,0]
90   62    77    49     289    10     [0] 	[] 	[0,1,0,0,0]
91   49    73    523    763    10     [2] 	[] 	[0,0,0,0,1]
92   67    5     228    468    10     [2] 	[] 	[1,0,0,0,1]
93   56    39    575    815    10     [1] 	[2] 	[0,1,0,0,0]
94   37    47    108    348    10     [4] 	[] 	[0,0,0,0,0]
95   37    56    728    968    10     [4] 	[4] 	[0,1,0,0,0]
96   57    68    198    438    10     [3] 	[4] 	[0,1,1,0,0]
97   47    16    22     262    10     [4] 	[] 	[0,1,0,0,0]
98   44    17    234    474    10     [4] 	[] 	[0,1,0,0,0]
99   46    13    622    862    10     [2] 	[] 	[0,0,0,0,1]
100  49    11    171    411    10     [1] 	[1,4] 	[0,1,0,0,0]
101  49    42    212    452    10     [4] 	[] 	[0,1,0,0,0]
102  53    43    730    970    10     [1] 	[1] 	[0,1,0,0,0]
103  61    52    322    562    10     [4] 	[] 	[0,0,0,0,0]
104  57    48    307    547    10     [2] 	[0,3] 	[1,0,0,0,1]
105  56    37    728    968    10     [2] 	[2] 	[1,0,0,0,1]
106  55    54    314    554    10     [4] 	[4] 	[0,1,0,0,0]
107  15    47    106    346    10     [0] 	[2,3] 	[0,1,0,0,0]
108  14    37    53     293    10     [4] 	[2,4] 	[0,1,0,0,0]
109  11    31    354    594    10     [3] 	[] 	[0,0,0,0,0]
110  16    22    299    539    10     [1] 	[1] 	[0,0,0,0,0]
111  4     18    307    547    10     [1] 	[1,4] 	[0,1,0,0,0]
112  28    18    314    554    10     [4] 	[] 	[0,0,0,0,0]
113  26    52    214    454    10     [2] 	[] 	[1,0,0,0,1]
114  26    35    718    958    10     [4] 	[] 	[0,1,0,0,0]
115  31    67    320    560    10     [0] 	[1,3] 	[0,1,0,0,0]
116  15    19    683    923    10     [3] 	[] 	[0,0,1,0,0]
117  22    22    18     258    10     [0] 	[1,3] 	[0,1,0,0,0]
118  18    24    729    969    10     [2] 	[0] 	[0,0,0,0,0]
119  26    27    350    590    10     [3] 	[3] 	[0,1,1,0,0]
120  25    24    42     282    10     [0] 	[1,3] 	[0,1,0,0,0]
121  22    27    529    769    10     [0] 	[3] 	[0,1,0,0,0]
122  25    21    523    763    10     [2] 	[2] 	[1,0,0,0,1]
123  19    21    125    365    10     [2] 	[3] 	[0,0,0,0,1]
124  20    26    263    503    10     [3] 	[2,4] 	[0,0,0,0,0]
125  18    18    725    965    10     [4] 	[] 	[0,1,0,0,0]
