R107.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    52    96    0      230    0      [0,2,4] 	[0,2,3,4] 	[2,5,3,0,4]
2    32    92    0      230    0      [3,4] 	[2,3] 	[4,2,0,0,4]
3    54    37    0      230    0      [1,2,3,4] 	[2,3,4] 	[3,5,5,5,5]
4    76    53    0      230    0      [0,1,2,4] 	[0,2] 	[2,4,0,3,0]
5    9     44    0      230    0      [0,1,2,3] 	[0,2,3,4] 	[0,0,2,5,0]
6    54    86    0      230    0      [0,1,2] 	[0,4] 	[4,0,5,2,0]
7    88    40    0      230    0      [0,1,3] 	[4] 	[4,0,0,4,0]
8    98    75    0      230    0      [1,2,4] 	[3] 	[0,2,0,2,0]
9    38    8     0      230    0      [1,2,3,4] 	[2,3,4] 	[4,0,4,5,2]
10   7     94    0      230    0      [1,2] 	[3] 	[0,0,5,3,0]
11   46    22    0      230    0      [2,3] 	[2,3,4] 	[2,0,2,3,0]
12   73    40    0      230    0      [1,2] 	[2,3,4] 	[0,0,2,4,0]
13   44    19    0      230    0      [2,3,4] 	[2,3,4] 	[2,4,3,5,3]
14   78    8     0      230    0      [0,1,3,4] 	[0,2,3,4] 	[4,5,0,5,5]
15   17    34    0      230    0      [0,1,3,4] 	[0,2,3,4] 	[3,4,0,5,3]
16   49    47    0      230    0      [0,1,2,4] 	[0,2,3,4] 	[4,3,3,2,3]
17   40    47    0      230    0      [2,4] 	[] 	[0,4,0,5,3]
18   98    11    0      230    0      [0,1,2,3] 	[0,3,4] 	[4,0,4,3,0]
19   30    9     0      230    0      [1,2,4] 	[2,3,4] 	[0,4,5,5,2]
20   53    24    0      230    0      [0,4] 	[0,2,3,4] 	[0,5,0,0,5]
21   54    5     0      230    0      [1,2] 	[2,3] 	[0,0,5,2,0]
22   4     18    0      230    0      [0,3,4] 	[0,2,3,4] 	[0,5,0,0,3]
23   75    77    0      230    0      [0,2,4] 	[4] 	[2,3,0,2,5]
24   78    70    0      230    0      [0,1,3,4] 	[0,2,3,4] 	[4,5,0,5,4]
25   86    75    0      230    0      [0,1] 	[0,2,4] 	[2,0,0,2,0]
26   41    49    0      204    10     [2] 	[] 	[0,0,0,0,0]
27   35    17    0      202    10     [3] 	[3] 	[0,0,0,0,0]
28   55    45    0      197    10     [3] 	[2,3] 	[0,0,0,0,0]
29   55    20    139    169    10     [3] 	[] 	[1,0,0,0,0]
30   15    30    0      199    10     [0] 	[2] 	[0,0,0,0,0]
31   25    30    89     119    10     [2] 	[4] 	[0,0,1,1,0]
32   20    50    0      198    10     [3] 	[2,3] 	[1,0,0,0,0]
33   10    43    85     115    10     [3] 	[2] 	[0,0,0,0,0]
34   55    60    87     117    10     [2] 	[4] 	[0,0,1,1,0]
35   30    60    114    144    10     [4] 	[2,3] 	[0,0,0,0,0]
36   20    65    57     87     10     [1] 	[2,3] 	[0,0,0,0,0]
37   50    35    0      205    10     [3] 	[2,3] 	[0,0,0,0,0]
38   30    25    149    179    10     [4] 	[3] 	[0,1,0,0,1]
39   15    10    0      187    10     [1] 	[2,3] 	[0,0,0,0,0]
40   30    5     51     81     10     [1] 	[3,4] 	[0,0,0,1,0]
41   10    20    0      190    10     [2] 	[2] 	[0,0,1,0,0]
42   5     30    147    177    10     [1] 	[2,4] 	[0,0,0,1,0]
43   20    40    0      204    10     [1] 	[2] 	[0,0,0,0,0]
44   15    60    0      187    10     [4] 	[2,3] 	[0,1,0,0,1]
45   45    65    0      188    10     [1] 	[3] 	[0,0,0,0,0]
46   45    20    0      201    10     [2] 	[] 	[0,0,0,1,0]
47   45    10    87     117    10     [3] 	[] 	[1,0,0,0,0]
48   55    5     58     88     10     [1] 	[2,3] 	[0,0,0,1,0]
49   65    35    0      190    10     [3] 	[2] 	[1,0,0,0,0]
50   65    20    156    186    10     [1] 	[] 	[0,0,0,1,0]
51   45    30    0      208    10     [4] 	[3] 	[0,1,0,0,1]
52   35    40    27     57     10     [4] 	[3] 	[0,1,0,0,1]
53   41    37    0      213    10     [0] 	[] 	[1,0,0,0,0]
54   64    42    0      190    10     [0] 	[] 	[0,0,0,0,0]
55   40    60    61     91     10     [1] 	[2] 	[0,0,0,1,0]
56   31    52    0      202    10     [2] 	[2] 	[0,0,0,0,0]
57   35    69    0      186    10     [0] 	[0] 	[0,0,0,0,0]
58   53    52    27     57     10     [3] 	[] 	[1,0,0,0,0]
59   65    55    0      183    10     [2] 	[2] 	[0,0,0,0,0]
60   63    65    133    163    10     [2] 	[2] 	[0,0,1,1,0]
61   2     60    41     71     10     [4] 	[] 	[0,1,0,0,1]
62   20    20    0      198    10     [2] 	[2,4] 	[0,0,1,1,0]
63   5     5     73     103    10     [2] 	[2,4] 	[0,0,0,1,0]
64   60    12    34     64     10     [4] 	[2,3] 	[0,0,0,0,0]
65   40    25    75     105    10     [2] 	[2,4] 	[0,0,1,1,0]
66   42    7     87     117    10     [2] 	[] 	[0,0,0,0,0]
67   24    12    25     55     10     [2] 	[] 	[0,0,0,0,0]
68   23    3     0      185    10     [4] 	[2,3] 	[0,1,0,0,1]
69   11    14    59     89     10     [4] 	[2,3] 	[0,1,0,0,1]
70   6     38    29     59     10     [4] 	[2] 	[0,1,0,0,1]
71   2     48    0      184    10     [2] 	[] 	[0,0,1,1,0]
72   8     56    0      185    10     [4] 	[2,3] 	[0,1,0,0,1]
73   13    52    0      192    10     [0] 	[2] 	[1,0,0,0,0]
74   6     68    98     128    10     [3] 	[2] 	[1,0,0,0,0]
75   47    47    0      203    10     [0] 	[0,4] 	[1,0,0,0,0]
76   49    58    0      193    10     [0] 	[] 	[1,0,0,0,0]
77   27    43    0      208    10     [0] 	[2] 	[1,0,0,0,0]
78   37    31    85     115    10     [1] 	[2,4] 	[0,0,0,1,0]
79   57    29    0      197    10     [2] 	[] 	[0,0,1,0,0]
80   63    23    126    156    10     [1] 	[] 	[0,0,0,1,0]
81   53    12    120    150    10     [0] 	[] 	[1,0,0,0,0]
82   32    12    0      196    10     [1] 	[4] 	[0,0,0,0,0]
83   36    26    180    210    10     [1] 	[2,4] 	[0,0,0,1,0]
84   21    24    0      202    10     [3] 	[2,3] 	[1,0,0,0,0]
85   17    34    0      201    10     [3] 	[2] 	[0,0,0,0,0]
86   12    24    0      194    10     [3] 	[] 	[0,0,0,0,0]
87   24    58    48     78     10     [4] 	[2] 	[0,1,0,0,1]
88   27    69    0      185    10     [0] 	[] 	[0,0,0,0,0]
89   15    77    63     93     10     [1] 	[3,4] 	[0,0,0,1,0]
90   62    77    49     79     10     [4] 	[2] 	[0,1,0,0,0]
91   49    73    117    147    10     [0] 	[2,4] 	[0,0,0,0,0]
92   67    5     73     103    10     [3] 	[2] 	[1,0,0,0,0]
93   56    39    132    162    10     [1] 	[] 	[0,0,0,1,0]
94   37    47    40     70     10     [2] 	[4] 	[0,0,1,0,0]
95   37    56    168    198    10     [0] 	[0,4] 	[1,0,0,0,0]
96   57    68    0      180    10     [2] 	[4] 	[0,0,1,1,0]
97   47    16    0      197    10     [4] 	[2,3] 	[0,1,0,0,0]
98   44    17    0      199    10     [0] 	[2,4] 	[0,0,0,0,0]
