RC204.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    38    55    0      960    0      [0,1,2,3] 	[1,2] 	[5,0,5,4,3]
2    12    61    0      960    0      [0,2,3,4] 	[0,1,2,3] 	[4,0,0,0,5]
3    25    59    0      960    0      [1,3] 	[0,2,3] 	[0,0,4,0,4]
4    38    63    0      960    0      [0,1,2,4] 	[] 	[0,2,4,3,3]
5    69    14    0      960    0      [0,1,2,4] 	[1] 	[0,5,3,5,0]
6    24    28    0      960    0      [1,2,4] 	[] 	[0,4,2,0,0]
7    19    86    0      960    0      [2,4] 	[] 	[0,0,5,2,0]
8    77    46    0      960    0      [2,3,4] 	[0,1,2,3] 	[4,3,4,5,0]
9    8     39    0      960    0      [0,1] 	[1,2,3] 	[0,0,5,3,0]
10   18    84    0      960    0      [2,3] 	[0,1,2,3] 	[3,0,3,5,0]
11   83    38    0      960    0      [0,1,2,4] 	[0,1,2,3] 	[0,4,4,4,0]
12   24    14    0      960    0      [1,3] 	[0,3] 	[2,0,5,0,2]
13   12    29    0      960    0      [1,2] 	[] 	[0,0,5,5,2]
14   7     68    0      960    0      [1,2,3,4] 	[1] 	[0,0,4,0,5]
15   69    68    0      960    0      [2,3] 	[0,1,2,3] 	[3,0,3,2,0]
16   21    66    0      960    0      [0,1,3] 	[0] 	[5,0,5,4,4]
17   65    87    0      960    0      [0,2,3,4] 	[] 	[2,4,5,4,2]
18   43    26    0      960    0      [0,1,2,3] 	[0,1,3] 	[0,0,3,3,0]
19   6     48    0      960    0      [0,4] 	[0,1,2,3] 	[0,5,0,2,4]
20   95    64    0      960    0      [0,1,4] 	[] 	[0,5,4,0,5]
21   72    11    0      960    0      [2,3] 	[0,1,2,3] 	[5,0,3,5,0]
22   4     91    0      960    0      [0,2] 	[1,2,3] 	[0,0,4,2,5]
23   37    99    0      960    0      [0,3] 	[0,1,2,3] 	[4,0,0,2,4]
24   4     26    0      960    0      [1,2] 	[2,3] 	[0,0,3,2,4]
25   9     62    0      960    0      [1,3] 	[0,2,3] 	[2,0,4,0,5]
26   25    85    0      911    10     [1] 	[2] 	[0,0,1,0,1]
27   22    75    0      919    10     [1] 	[2,3] 	[0,0,1,0,1]
28   22    85    0      910    10     [4] 	[0,2] 	[0,1,0,0,0]
29   20    80    644    764    10     [2] 	[] 	[0,0,0,0,0]
30   20    85    0      909    10     [1] 	[2] 	[0,0,1,0,1]
31   18    75    0      916    10     [2] 	[1] 	[0,0,0,0,0]
32   15    75    0      914    10     [4] 	[] 	[0,1,0,0,0]
33   15    80    367    487    10     [2] 	[] 	[0,0,1,1,0]
34   10    35    371    491    10     [1] 	[2,3] 	[0,0,1,0,1]
35   10    40    0      918    10     [4] 	[] 	[0,0,0,0,0]
36   8     40    195    315    10     [0] 	[1] 	[0,0,0,0,0]
37   8     45    0      917    10     [3] 	[3] 	[1,0,0,0,0]
38   5     35    653    773    10     [4] 	[] 	[0,1,0,0,0]
39   5     45    0      914    10     [3] 	[0,3] 	[1,0,0,0,0]
40   2     40    174    294    10     [1] 	[0] 	[0,0,0,0,0]
41   0     40    0      908    10     [4] 	[2] 	[0,1,0,0,0]
42   0     45    0      909    10     [1] 	[2] 	[0,0,0,0,1]
43   44    5     0      904    10     [4] 	[] 	[0,1,0,0,0]
44   42    10    0      909    10     [0] 	[1,2] 	[0,0,0,0,1]
45   42    15    0      914    10     [3] 	[0,3] 	[1,0,0,0,0]
46   40    5     0      905    10     [3] 	[0,3] 	[1,0,0,0,0]
47   40    15    0      915    10     [2] 	[] 	[0,0,0,0,0]
48   38    5     201    321    10     [1] 	[] 	[0,0,0,0,0]
49   38    15    0      914    10     [0] 	[3] 	[0,0,0,0,0]
50   35    5     784    904    10     [2] 	[2] 	[0,0,0,1,0]
51   95    30    0      891    10     [1] 	[3] 	[0,0,0,0,0]
52   95    35    0      892    10     [0] 	[] 	[0,0,0,0,0]
53   92    30    0      894    10     [3] 	[0,3] 	[1,0,0,0,0]
54   90    35    0      897    10     [0] 	[1,3] 	[0,0,0,0,1]
55   88    30    0      898    10     [3] 	[] 	[1,0,0,0,0]
56   88    35    0      899    10     [4] 	[0,2] 	[0,0,0,0,0]
57   87    30    0      898    10     [2] 	[] 	[0,0,1,0,0]
58   85    25    0      898    10     [1] 	[0] 	[0,0,0,0,0]
59   85    35    0      902    10     [2] 	[] 	[0,0,1,1,0]
60   67    85    0      905    10     [2] 	[1,2] 	[0,0,0,1,0]
61   65    85    0      906    10     [2] 	[1,2] 	[0,0,1,1,0]
62   65    82    0      909    10     [3] 	[3] 	[0,0,0,0,0]
63   62    80    278    398    10     [1] 	[2,3] 	[0,0,1,0,1]
64   60    80    0      913    10     [1] 	[0,3] 	[0,0,1,0,0]
65   60    85    0      909    10     [0] 	[1,3] 	[0,0,0,1,0]
66   58    75    0      919    10     [2] 	[2] 	[0,0,0,0,0]
67   55    80    0      916    10     [0] 	[2,3] 	[0,0,0,0,1]
68   55    85    0      911    10     [3] 	[3] 	[1,0,0,0,0]
69   55    82    217    337    10     [4] 	[0,2] 	[0,1,0,0,0]
70   20    82    0      912    10     [1] 	[3] 	[0,0,0,0,1]
71   18    80    0      912    10     [2] 	[2] 	[0,0,1,1,0]
72   2     45    0      911    10     [0] 	[1] 	[0,0,0,1,1]
73   42    5     0      904    10     [2] 	[] 	[0,0,1,1,0]
74   42    12    0      911    10     [4] 	[] 	[0,1,0,0,0]
75   72    35    0      914    10     [0] 	[1] 	[0,0,0,0,0]
76   55    20    0      916    10     [3] 	[0,3] 	[1,0,0,0,0]
77   25    30    0      925    10     [2] 	[1] 	[0,0,1,1,0]
78   20    50    375    495    10     [4] 	[0,2] 	[0,0,0,0,0]
79   55    60    0      931    10     [4] 	[0,2] 	[0,1,0,0,0]
80   30    60    599    719    10     [3] 	[] 	[1,0,0,0,0]
81   50    35    0      931    10     [1] 	[] 	[0,0,0,0,1]
82   30    25    0      923    10     [4] 	[0,2] 	[0,0,0,0,0]
83   15    10    782    902    10     [0] 	[] 	[0,0,0,0,0]
84   10    20    0      907    10     [0] 	[1,2] 	[0,0,0,0,0]
85   15    60    0      923    10     [4] 	[0] 	[0,1,0,0,0]
86   45    65    0      934    10     [1] 	[2,3] 	[0,0,1,0,1]
87   65    35    167    287    10     [4] 	[0,2] 	[0,1,0,0,0]
88   65    20    0      910    10     [2] 	[1,2] 	[0,0,1,0,0]
89   45    30    0      929    10     [4] 	[0,2] 	[0,0,0,0,0]
90   35    40    0      938    10     [1] 	[0] 	[0,0,1,0,0]
91   41    37    0      936    10     [3] 	[3] 	[0,0,0,0,0]
92   64    42    268    388    10     [1] 	[] 	[0,0,0,0,0]
93   40    60    0      940    10     [0] 	[] 	[0,0,0,1,0]
94   31    52    157    277    10     [1] 	[] 	[0,0,0,0,1]
95   35    69    0      930    10     [2] 	[] 	[0,0,1,1,0]
96   65    55    0      924    10     [4] 	[0,2] 	[0,0,0,0,0]
97   63    65    0      922    10     [0] 	[1] 	[0,0,0,0,1]
98   2     60    0      910    10     [0] 	[] 	[0,0,0,0,0]
99   20    20    645    765    10     [3] 	[0,3] 	[0,0,0,0,0]
100  5     5     0      892    10     [0] 	[1,3] 	[0,0,0,0,0]
101  60    12    268    388    10     [4] 	[0,2] 	[0,1,0,0,0]
102  23    3     764    884    10     [0] 	[3] 	[0,0,0,0,1]
103  8     56    0      917    10     [0] 	[] 	[0,0,0,0,0]
104  6     68    352    472    10     [0] 	[1] 	[0,0,0,1,1]
105  47    47    0      942    10     [3] 	[3] 	[0,0,0,0,0]
106  49    58    0      937    10     [2] 	[2] 	[0,0,0,1,0]
107  27    43    0      935    10     [1] 	[2] 	[0,0,0,0,0]
108  37    31    0      930    10     [1] 	[0] 	[0,0,0,0,0]
109  57    29    395    515    10     [0] 	[1] 	[0,0,0,1,1]
110  63    23    0      914    10     [4] 	[] 	[0,0,0,0,0]
111  21    24    0      917    10     [1] 	[0] 	[0,0,0,0,1]
112  12    24    359    479    10     [1] 	[] 	[0,0,1,0,0]
113  24    58    0      932    10     [0] 	[] 	[0,0,0,0,0]
114  67    5     0      897    10     [0] 	[] 	[0,0,0,0,1]
115  37    47    0      945    10     [4] 	[] 	[0,1,0,0,0]
116  49    42    0      937    10     [3] 	[0] 	[1,0,0,0,0]
117  53    43    14     134    10     [1] 	[0,2] 	[0,0,1,0,1]
118  61    52    0      928    10     [3] 	[3] 	[1,0,0,0,0]
119  57    48    0      932    10     [0] 	[1,2] 	[0,0,0,0,0]
120  56    37    0      929    10     [4] 	[0,2] 	[0,1,0,0,0]
121  55    54    0      934    10     [0] 	[] 	[0,0,0,0,0]
122  4     18    0      901    10     [4] 	[2] 	[0,0,0,0,0]
123  26    52    0      935    10     [2] 	[] 	[0,0,0,1,0]
124  26    35    308    428    10     [2] 	[] 	[0,0,1,1,0]
