R102.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    51    31    0      230    0      [0,2] 	[0,1,2] 	[2,2,0,5,0]
2    81    26    0      230    0      [1,2,3,4] 	[0,3] 	[5,3,0,0,3]
3    49    73    0      230    0      [0,1,2,3] 	[] 	[2,3,0,3,0]
4    11    65    0      230    0      [1,2,4] 	[2,4] 	[4,3,0,0,4]
5    24    68    0      230    0      [0,1,3,4] 	[1] 	[0,4,0,0,2]
6    11    47    0      230    0      [2,3,4] 	[0,1,3] 	[5,3,0,0,3]
7    26    57    0      230    0      [1,2] 	[0,1,2,3,4] 	[2,3,0,0,0]
8    17    9     0      230    0      [0,2,3] 	[] 	[5,5,0,5,0]
9    47    28    0      230    0      [0,1,2,4] 	[1,2,4] 	[3,4,0,2,4]
10   35    59    0      230    0      [0,1,2,4] 	[0,1,2,3,4] 	[2,5,0,0,0]
11   92    8     0      230    0      [1,3] 	[0,1,4] 	[0,3,0,0,0]
12   99    25    0      230    0      [1,3] 	[0,1,4] 	[0,4,0,0,0]
13   21    82    0      230    0      [0,2,3] 	[1,2] 	[0,2,0,3,0]
14   54    16    0      230    0      [0,1,2] 	[0,2,3,4] 	[2,4,0,0,0]
15   76    60    0      230    0      [3,4] 	[0,1,2] 	[0,4,0,0,4]
16   8     67    0      230    0      [3,4] 	[0,1,2] 	[0,4,0,0,2]
17   60    58    0      230    0      [0,1,4] 	[0] 	[0,3,0,5,5]
18   42    14    0      230    0      [0,1,3,4] 	[] 	[0,4,0,3,5]
19   71    34    0      230    0      [0,2,3,4] 	[0] 	[3,0,0,5,0]
20   5     27    0      230    0      [0,1,2,3] 	[1] 	[2,4,0,3,0]
21   92    33    0      230    0      [0,1,2,4] 	[] 	[3,5,0,2,4]
22   39    89    0      230    0      [0,2,3,4] 	[0,1,3] 	[2,5,0,0,3]
23   51    45    0      230    0      [2,3] 	[0] 	[4,3,0,0,0]
24   74    39    0      230    0      [3,4] 	[3] 	[0,5,0,0,4]
25   85    69    0      230    0      [0,3,4] 	[] 	[0,3,0,3,2]
26   41    49    0      204    10     [2] 	[] 	[1,1,0,0,0]
27   35    17    0      202    10     [2] 	[0] 	[0,0,0,0,0]
28   55    45    0      197    10     [0] 	[1,2] 	[0,0,0,1,0]
29   55    20    149    159    10     [1] 	[1,4] 	[0,0,0,0,0]
30   15    30    0      199    10     [1] 	[0,1] 	[0,1,0,0,0]
31   25    30    99     109    10     [4] 	[] 	[0,0,0,0,1]
32   20    50    0      198    10     [1] 	[1] 	[0,1,0,0,0]
33   10    43    95     105    10     [3] 	[0,1] 	[0,1,0,0,0]
34   55    60    97     107    10     [3] 	[0] 	[0,1,0,0,0]
35   30    60    124    134    10     [0] 	[1,2] 	[0,0,0,1,0]
36   20    65    67     77     10     [0] 	[1,2] 	[0,0,0,1,0]
37   50    35    0      205    10     [1] 	[] 	[0,0,0,0,0]
38   30    25    159    169    10     [2] 	[] 	[1,1,0,0,0]
39   15    10    32     42     10     [0] 	[1] 	[0,0,0,1,0]
40   30    5     61     71     10     [3] 	[] 	[0,1,0,0,0]
41   10    20    75     85     10     [3] 	[] 	[0,1,0,0,0]
42   5     30    157    167    10     [3] 	[0,1] 	[0,1,0,0,0]
43   20    40    87     97     10     [3] 	[] 	[0,0,0,0,0]
44   15    60    76     86     10     [1] 	[0,1] 	[0,0,0,0,0]
45   45    65    126    136    10     [0] 	[2] 	[0,0,0,1,0]
46   45    20    0      201    10     [0] 	[] 	[0,0,0,1,0]
47   45    10    97     107    10     [0] 	[2] 	[0,0,0,0,0]
48   55    5     68     78     10     [3] 	[] 	[0,1,0,0,0]
49   65    35    153    163    10     [1] 	[4] 	[0,0,0,0,0]
50   65    20    172    182    10     [2] 	[0] 	[1,1,0,0,0]
51   45    30    0      208    10     [3] 	[] 	[0,1,0,0,0]
52   35    40    37     47     10     [3] 	[] 	[0,0,0,0,0]
53   41    37    39     49     10     [4] 	[1,3] 	[0,0,0,0,1]
54   64    42    63     73     10     [3] 	[1] 	[0,0,0,0,0]
55   40    60    71     81     10     [1] 	[0,4] 	[0,1,0,0,0]
56   31    52    0      202    10     [1] 	[1,4] 	[0,1,0,0,0]
57   35    69    141    151    10     [3] 	[] 	[0,1,0,0,0]
58   53    52    37     47     10     [0] 	[1] 	[0,0,0,1,0]
59   65    55    0      183    10     [3] 	[] 	[0,1,0,0,0]
60   63    65    143    153    10     [1] 	[0,4] 	[0,0,0,0,0]
61   2     60    41     51     10     [2] 	[0] 	[1,0,0,0,0]
62   20    20    0      198    10     [0] 	[1,2] 	[0,0,0,1,0]
63   5     5     83     93     10     [2] 	[] 	[0,0,0,0,0]
64   60    12    44     54     10     [2] 	[2] 	[0,0,0,0,0]
65   40    25    85     95     10     [1] 	[4] 	[0,0,0,0,0]
66   42    7     97     107    10     [1] 	[4] 	[0,1,0,0,0]
67   24    12    31     41     10     [4] 	[1] 	[0,1,0,0,0]
68   23    3     132    142    10     [4] 	[3] 	[0,0,0,0,1]
69   11    14    69     79     10     [0] 	[1] 	[0,0,0,1,0]
70   6     38    32     42     10     [1] 	[4] 	[0,1,0,0,0]
71   2     48    117    127    10     [0] 	[1,2] 	[0,0,0,0,0]
72   8     56    51     61     10     [2] 	[0,2] 	[0,1,0,0,0]
73   13    52    0      192    10     [0] 	[1,2] 	[0,0,0,1,0]
