R210.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    58    2     0      1000   0      [0,1,2,3] 	[2] 	[2,0,0,3,0]
2    62    87    0      1000   0      [1,3,4] 	[0,1,3,4] 	[3,0,0,4,3]
3    100   58    0      1000   0      [0,1,3,4] 	[] 	[3,0,0,3,0]
4    85    31    0      1000   0      [1,2,3,4] 	[4] 	[5,0,0,3,4]
5    59    100   0      1000   0      [1,3,4] 	[0,1,3,4] 	[3,0,0,2,4]
6    83    65    0      1000   0      [0,1,3,4] 	[] 	[5,0,0,0,5]
7    37    61    0      1000   0      [0,1,2,4] 	[1,2,3,4] 	[3,0,0,3,2]
8    0     59    0      1000   0      [0,2,3] 	[] 	[4,0,0,3,5]
9    78    79    0      1000   0      [1,4] 	[1,3,4] 	[2,0,0,2,3]
10   15    75    0      1000   0      [0,3] 	[] 	[0,0,0,2,5]
11   11    52    0      1000   0      [0,2,3,4] 	[3] 	[2,0,0,4,5]
12   0     87    0      1000   0      [0,2,4] 	[0,1,2,3,4] 	[3,0,0,3,2]
13   96    72    0      1000   0      [0,2] 	[0,1,2] 	[2,0,0,2,0]
14   31    48    0      1000   0      [1,2,3,4] 	[1] 	[3,0,0,2,0]
15   66    6     0      1000   0      [2,3] 	[0,2,3] 	[5,0,0,4,3]
16   90    34    0      1000   0      [0,1,2,3] 	[] 	[3,0,0,2,2]
17   98    4     0      1000   0      [0,2,3,4] 	[] 	[2,0,0,4,4]
18   79    68    0      1000   0      [3,4] 	[0,1,3] 	[0,0,0,2,4]
19   31    88    0      1000   0      [0,1,2,4] 	[] 	[3,0,0,3,3]
20   40    19    0      1000   0      [1,4] 	[1,3,4] 	[3,0,0,4,5]
21   40    60    0      1000   0      [0,1,3] 	[] 	[2,0,0,4,5]
22   93    55    0      1000   0      [0,1,2,4] 	[0,1,2,3,4] 	[5,0,0,2,5]
23   28    43    0      1000   0      [1,2,3,4] 	[1,2,3,4] 	[3,0,0,4,3]
24   19    33    0      1000   0      [0,1,2,3] 	[0,1,2,3,4] 	[2,0,0,4,5]
25   40    6     0      1000   0      [1,4] 	[1,3,4] 	[5,0,0,5,2]
26   41    49    190    974    10     [1] 	[1,3] 	[1,0,0,0,1]
27   35    17    18     792    10     [4] 	[1] 	[0,0,0,1,0]
28   55    45    289    822    10     [0] 	[2,4] 	[0,0,0,0,0]
29   55    20    679    800    10     [2] 	[0] 	[0,0,0,0,0]
30   15    30    20     906    10     [4] 	[1,4] 	[0,0,0,1,1]
31   25    30    355    574    10     [0] 	[] 	[0,0,0,0,1]
