C205.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      3390   0      [] 	[] 	[]
1    91    8     0      3390   0      [0,2] 	[2,3,4] 	[0,4,0,0,5]
2    40    55    0      3390   0      [2,3] 	[2,3,4] 	[4,3,0,0,2]
3    20    77    0      3390   0      [0,2,3,4] 	[4] 	[2,4,2,0,3]
4    63    45    0      3390   0      [2,4] 	[0,2,3,4] 	[5,0,3,0,0]
5    71    45    0      3390   0      [0,2,4] 	[0,2] 	[3,0,0,0,2]
6    8     23    0      3390   0      [1,2,3,4] 	[2] 	[3,0,5,0,0]
7    33    88    0      3390   0      [2,4] 	[] 	[4,4,5,0,0]
8    3     0     0      3390   0      [0,2] 	[2,3,4] 	[3,4,0,0,0]
9    42    61    0      3390   0      [1,3,4] 	[2,3,4] 	[0,2,3,0,4]
10   81    90    0      3390   0      [2,4] 	[0,2,3,4] 	[2,2,5,0,0]
11   49    26    0      3390   0      [3,4] 	[0,3,4] 	[0,4,5,0,5]
12   46    90    0      3390   0      [2,3,4] 	[] 	[4,3,0,0,2]
13   93    88    0      3390   0      [1,2,4] 	[] 	[4,4,2,0,2]
14   21    35    0      3390   0      [0,1,2,3] 	[2,3,4] 	[0,2,0,0,2]
15   68    38    0      3390   0      [0,2,3] 	[2,3] 	[4,3,0,0,2]
16   70    5     0      3390   0      [3,4] 	[0,3,4] 	[0,4,4,0,3]
17   82    81    0      3390   0      [1,2,3] 	[2,3,4] 	[3,4,0,0,4]
18   89    61    0      3390   0      [0,4] 	[0,2,3] 	[0,0,2,0,3]
19   18    75    0      3390   0      [0,1,4] 	[2,3,4] 	[0,4,5,0,3]
20   9     59    0      3390   0      [0,1,2,3] 	[] 	[2,3,0,0,5]
21   81    88    0      3390   0      [0,2,3] 	[] 	[2,2,0,0,4]
22   92    15    0      3390   0      [0,1,2,4] 	[4] 	[5,2,2,0,4]
23   19    29    0      3390   0      [3,4] 	[0,2,3,4] 	[0,4,5,0,5]
24   96    9     0      3390   0      [0,1,3] 	[2,3] 	[0,2,0,0,2]
25   14    36    0      3390   0      [1,2,3,4] 	[0,4] 	[0,2,3,0,2]
26   52    75    231    551    90     [1] 	[2] 	[0,0,0,0,1]
27   45    70    133    453    90     [2] 	[2,4] 	[0,0,0,0,0]
28   62    69    1087   1407   90     [1] 	[2] 	[0,0,0,0,1]
29   60    66    1181   1501   90     [4] 	[0,3] 	[0,0,1,0,0]
30   42    65    15     335    90     [2] 	[3,4] 	[0,1,0,0,0]
31   16    42    417    737    90     [4] 	[0,3] 	[0,0,1,0,0]
32   58    70    993    1313   90     [1] 	[4] 	[0,1,0,0,0]
33   34    60    2807   3127   90     [1] 	[2] 	[0,1,0,0,1]
34   28    70    2521   2841   90     [4] 	[3] 	[0,0,1,0,0]
35   35    66    2711   3031   90     [4] 	[0] 	[0,0,1,0,0]
36   35    69    2618   2938   90     [2] 	[4] 	[1,1,0,0,0]
37   25    85    2039   2359   90     [1] 	[] 	[0,0,0,0,1]
38   22    75    2325   2645   90     [0] 	[] 	[0,0,0,0,1]
39   22    85    1946   2266   90     [0] 	[] 	[0,0,0,0,1]
40   20    80    2136   2456   90     [1] 	[2,4] 	[0,0,0,0,0]
41   20    85    1854   2174   90     [2] 	[3] 	[0,0,0,0,0]
42   18    75    2231   2551   90     [1] 	[] 	[0,0,0,0,0]
43   15    75    1662   1982   90     [1] 	[2] 	[0,1,0,0,0]
44   15    80    1757   2077   90     [1] 	[4] 	[0,0,0,0,0]
45   30    50    10     330    90     [1] 	[3,4] 	[0,1,0,0,0]
46   30    56    2903   3223   90     [0] 	[] 	[0,0,0,0,0]
47   28    52    12     332    90     [1] 	[3,4] 	[0,0,0,0,0]
48   14    66    1563   1883   90     [3] 	[] 	[0,0,0,0,0]
49   25    50    36     356    90     [0] 	[2,3] 	[0,0,0,0,1]
50   22    66    2424   2744   90     [2] 	[4] 	[1,1,0,0,0]
51   8     62    1465   1785   90     [4] 	[] 	[0,0,0,0,0]
52   23    52    129    449    90     [2] 	[] 	[1,0,0,0,0]
53   4     55    1367   1687   90     [0] 	[] 	[0,0,0,0,1]
54   20    50    318    638    90     [1] 	[2] 	[0,1,0,0,0]
55   20    55    223    543    90     [1] 	[] 	[0,1,0,0,1]
56   10    35    701    1021   90     [2] 	[3] 	[1,0,0,0,0]
57   10    40    513    833    90     [3] 	[4] 	[0,1,0,0,1]
58   8     40    605    925    90     [4] 	[] 	[0,0,1,0,0]
59   8     45    1266   1586   90     [1] 	[3] 	[0,0,0,0,0]
60   5     35    796    1116   90     [0] 	[2,3] 	[0,0,0,0,1]
61   5     45    1173   1493   90     [3] 	[] 	[0,0,0,0,0]
62   2     40    891    1211   90     [1] 	[2] 	[0,0,0,0,0]
63   0     40    983    1303   90     [3] 	[2,4] 	[0,0,0,0,0]
64   0     45    1078   1398   90     [4] 	[0,3] 	[0,0,0,0,0]
65   36    18    1739   2059   90     [0] 	[] 	[0,0,0,0,1]
66   35    32    2678   2998   90     [0] 	[2] 	[0,0,0,0,1]
67   33    32    2586   2906   90     [1] 	[] 	[0,1,0,0,0]
68   33    35    2493   2813   90     [2] 	[3] 	[1,1,0,0,0]
69   32    20    1833   2153   90     [3] 	[] 	[0,0,0,0,0]
70   30    30    2025   2345   90     [2] 	[2,4] 	[1,0,0,0,0]
71   34    25    1929   2249   90     [1] 	[2] 	[0,1,0,0,1]
72   30    35    2400   2720   90     [2] 	[2,4] 	[0,0,0,0,0]
73   36    40    2776   3096   90     [0] 	[2] 	[0,0,0,0,1]
74   48    20    887    1207   90     [0] 	[] 	[0,0,0,0,1]
75   26    32    2212   2532   90     [3] 	[] 	[0,0,0,0,1]
76   25    30    2120   2440   90     [4] 	[3] 	[0,0,1,0,0]
77   25    35    2305   2625   90     [3] 	[2,4] 	[0,1,0,0,1]
78   44    5     1176   1496   90     [1] 	[2,3] 	[0,1,0,0,1]
79   42    10    1080   1400   90     [4] 	[0,3] 	[0,0,1,0,0]
80   42    15    985    1305   90     [3] 	[2,4] 	[0,1,0,0,1]
81   40    5     1270   1590   90     [2] 	[] 	[0,1,0,0,0]
82   38    15    1645   1965   90     [1] 	[] 	[0,0,0,0,0]
83   38    5     1362   1682   90     [2] 	[] 	[1,0,0,0,0]
84   38    10    1550   1870   90     [1] 	[2] 	[0,1,0,0,1]
85   35    5     1455   1775   90     [2] 	[3,4] 	[0,0,0,0,0]
86   50    30    321    641    90     [0] 	[2,3] 	[0,0,0,0,1]
87   50    35    40     360    90     [1] 	[2] 	[0,0,0,0,1]
88   50    40    14     334    90     [1] 	[] 	[0,1,0,0,1]
89   48    30    413    733    90     [0] 	[3] 	[0,0,0,0,0]
90   44    25    791    1111   90     [3] 	[] 	[0,1,0,0,1]
91   47    35    508    828    90     [4] 	[] 	[0,0,0,0,0]
92   47    40    12     332    90     [4] 	[] 	[0,0,1,0,0]
93   42    30    696    1016   90     [2] 	[] 	[1,1,0,0,0]
94   45    35    600    920    90     [1] 	[2] 	[0,1,0,0,1]
95   95    30    2241   2561   90     [0] 	[2] 	[0,0,0,0,1]
96   95    35    2146   2466   90     [2] 	[3,4] 	[0,0,0,0,0]
97   53    30    228    548    90     [4] 	[3] 	[0,0,1,0,0]
98   92    30    2334   2654   90     [3] 	[2,4] 	[0,1,0,0,1]
99   53    35    133    453    90     [1] 	[3] 	[0,1,0,0,1]
100  45    65    38     358    90     [2] 	[3] 	[0,0,0,0,0]
101  90    35    2051   2371   90     [2] 	[2,4] 	[1,1,0,0,0]
102  72    45    2820   3140   90     [4] 	[] 	[0,0,1,0,0]
103  78    40    2722   3042   90     [4] 	[] 	[0,0,1,0,0]
104  87    30    2528   2848   90     [2] 	[2] 	[0,1,0,0,0]
105  85    25    2433   2753   90     [1] 	[2,4] 	[0,0,0,0,0]
106  85    35    2623   2943   90     [0] 	[2,3] 	[0,0,0,0,0]
107  75    55    1845   2165   90     [1] 	[3,4] 	[0,1,0,0,1]
108  72    55    1752   2072   90     [1] 	[2,3] 	[0,0,0,0,0]
109  70    58    1561   1881   90     [1] 	[] 	[0,0,0,0,0]
110  86    46    1949   2269   90     [4] 	[0] 	[0,0,1,0,0]
111  66    55    1656   1976   90     [1] 	[2] 	[0,1,0,0,1]
112  64    46    2955   3275   90     [0] 	[] 	[0,0,0,0,1]
113  65    60    1466   1786   90     [0] 	[2,3] 	[0,0,0,0,1]
114  56    64    1275   1595   90     [3] 	[4] 	[0,0,0,0,1]
115  60    55    2959   3279   90     [0] 	[3] 	[0,0,0,0,0]
116  60    60    1371   1691   90     [1] 	[2] 	[0,0,0,0,0]
117  67    85    614    934    90     [0] 	[3] 	[0,0,0,0,0]
118  42    58    8      328    90     [4] 	[0,3] 	[0,0,0,0,0]
119  65    82    708    1028   90     [4] 	[0,3] 	[0,0,1,0,0]
120  62    80    801    1121   90     [0] 	[2,3] 	[0,0,0,0,1]
121  62    40    2921   3241   90     [4] 	[0,3] 	[0,0,0,0,0]
122  60    85    517    837    90     [3] 	[] 	[0,0,0,0,1]
123  58    75    898    1218   90     [0] 	[3] 	[0,0,0,0,1]
124  55    80    327    647    90     [3] 	[4] 	[0,0,0,0,0]
125  55    85    422    742    90     [0] 	[2,3] 	[0,0,0,0,1]
