C208.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      3390   0      [] 	[] 	[]
1    95    51    0      3390   0      [0,1,3,4] 	[] 	[4,0,5,2,0]
2    92    35    0      3390   0      [1,4] 	[0,1,2,3] 	[3,0,0,2,0]
3    48    92    0      3390   0      [1,4] 	[1] 	[5,0,0,5,0]
4    43    97    0      3390   0      [1,2,3,4] 	[1] 	[0,0,2,0,4]
5    75    32    0      3390   0      [1,4] 	[0,1,2,3] 	[5,0,0,5,0]
6    39    15    0      3390   0      [1,2] 	[0,1,2,4] 	[4,4,3,0,0]
7    61    44    0      3390   0      [1,2,3,4] 	[0] 	[4,0,0,2,5]
8    56    15    0      3390   0      [1,2] 	[4] 	[2,2,2,0,0]
9    68    46    0      3390   0      [0,1,3,4] 	[] 	[5,0,4,2,3]
10   89    98    0      3390   0      [0,1,2,4] 	[0,1,2,3,4] 	[2,0,0,5,0]
11   93    4     0      3390   0      [1,4] 	[1,2,3] 	[3,0,0,3,0]
12   66    93    0      3390   0      [0,1,2] 	[] 	[5,5,3,2,0]
13   49    84    0      3390   0      [1,2,4] 	[0,1,2,3,4] 	[2,2,3,2,0]
14   32    46    0      3390   0      [0,1,2,4] 	[] 	[4,2,0,0,0]
15   66    46    0      3390   0      [0,1] 	[2,3,4] 	[3,0,0,5,0]
16   26    66    0      3390   0      [0,2,3] 	[] 	[3,3,4,2,0]
17   88    1     0      3390   0      [0,1,3] 	[0,1,2,3,4] 	[2,0,5,4,3]
18   84    14    0      3390   0      [2,4] 	[3] 	[5,2,2,3,0]
19   98    88    0      3390   0      [0,2,3,4] 	[4] 	[5,2,4,0,4]
20   57    96    0      3390   0      [0,1,2,3] 	[3] 	[0,0,5,0,4]
21   74    0     0      3390   0      [0,1,3,4] 	[0] 	[4,0,4,5,5]
22   90    22    0      3390   0      [3,4] 	[1,2,3,4] 	[0,0,3,3,0]
23   67    3     0      3390   0      [1,2,3,4] 	[0,1,3,4] 	[0,5,4,3,3]
24   52    91    0      3390   0      [0,1,2,3] 	[1,4] 	[3,0,4,3,2]
25   32    61    0      3390   0      [2,4] 	[] 	[3,3,2,5,0]
26   52    75    71     711    90     [2] 	[] 	[0,1,0,0,0]
27   45    70    20     660    90     [3] 	[1,4] 	[0,0,1,0,0]
28   62    69    927    1567   90     [4] 	[] 	[0,0,0,0,0]
29   60    66    1021   1661   90     [4] 	[2] 	[0,0,0,0,0]
30   42    65    15     655    90     [0] 	[] 	[0,0,0,0,0]
31   16    42    257    897    90     [1] 	[0] 	[1,0,0,0,0]
32   58    70    833    1473   90     [3] 	[3] 	[0,0,1,0,0]
33   34    60    2647   3287   90     [1] 	[] 	[1,0,0,0,0]
34   28    70    2361   3001   90     [3] 	[] 	[0,0,1,0,1]
35   35    66    2551   3191   90     [0] 	[3,4] 	[1,0,0,1,0]
36   35    69    2458   3098   90     [1] 	[] 	[1,0,0,0,0]
37   25    85    1879   2519   90     [3] 	[3,4] 	[0,0,1,0,0]
38   22    75    2165   2805   90     [0] 	[3] 	[1,0,0,1,0]
39   22    85    1786   2426   90     [2] 	[0] 	[0,0,0,0,0]
40   20    80    1976   2616   90     [3] 	[1] 	[0,0,0,0,0]
41   20    85    1694   2334   90     [4] 	[0,3] 	[1,0,0,1,0]
42   18    75    2071   2711   90     [2] 	[] 	[0,1,1,0,0]
43   15    75    1502   2142   90     [4] 	[3] 	[1,0,0,0,0]
44   15    80    1597   2237   90     [3] 	[3] 	[0,0,1,0,0]
45   30    50    10     650    90     [3] 	[1,4] 	[0,0,0,0,1]
46   30    56    2648   3288   90     [0] 	[] 	[0,0,0,0,0]
47   28    52    12     652    90     [1] 	[] 	[0,0,0,0,0]
48   14    66    1403   2043   90     [1] 	[0,2] 	[1,0,0,0,0]
49   25    50    15     655    90     [4] 	[] 	[1,0,0,1,0]
50   22    66    2264   2904   90     [0] 	[3,4] 	[1,0,0,0,0]
51   8     62    1305   1945   90     [2] 	[4] 	[0,0,0,0,0]
52   23    52    17     657    90     [1] 	[0,1] 	[0,0,0,0,0]
53   4     55    1207   1847   90     [4] 	[0] 	[1,0,0,1,0]
54   20    50    158    798    90     [2] 	[] 	[0,0,0,0,0]
55   20    55    63     703    90     [0] 	[] 	[0,0,0,1,0]
56   10    35    541    1181   90     [4] 	[0] 	[0,0,0,0,0]
57   10    40    353    993    90     [4] 	[0,3] 	[0,0,0,0,0]
58   8     40    445    1085   90     [4] 	[0,2] 	[0,0,0,1,0]
59   8     45    1106   1746   90     [4] 	[] 	[0,0,0,0,0]
60   5     35    636    1276   90     [1] 	[2] 	[0,0,0,0,0]
61   5     45    1013   1653   90     [4] 	[3] 	[0,0,0,1,0]
62   2     40    731    1371   90     [3] 	[] 	[0,0,1,0,1]
63   0     40    823    1463   90     [4] 	[0,2] 	[0,0,0,0,0]
64   0     45    918    1558   90     [4] 	[2,3] 	[0,0,0,0,0]
65   36    18    1579   2219   90     [2] 	[0] 	[0,1,1,0,0]
66   35    32    2518   3158   90     [4] 	[] 	[0,0,0,0,0]
67   33    32    2426   3066   90     [3] 	[] 	[0,0,1,0,1]
68   33    35    2333   2973   90     [2] 	[] 	[0,1,0,0,0]
69   32    20    1673   2313   90     [4] 	[2] 	[0,0,0,0,0]
70   30    30    1865   2505   90     [3] 	[3,4] 	[0,0,0,0,1]
71   34    25    1769   2409   90     [1] 	[] 	[1,0,0,0,0]
72   30    35    2240   2880   90     [0] 	[] 	[1,0,0,1,0]
73   36    40    2616   3256   90     [4] 	[0,2] 	[1,0,0,0,0]
74   48    20    727    1367   90     [0] 	[4] 	[0,0,0,1,0]
75   26    32    2052   2692   90     [0] 	[3] 	[0,0,0,1,0]
76   25    30    1960   2600   90     [0] 	[4] 	[1,0,0,0,0]
77   25    35    2145   2785   90     [2] 	[0] 	[0,0,1,0,0]
78   44    5     1016   1656   90     [2] 	[] 	[0,0,0,0,0]
79   42    10    920    1560   90     [0] 	[] 	[0,0,0,1,0]
80   42    15    825    1465   90     [0] 	[] 	[0,0,0,0,0]
81   40    5     1110   1750   90     [3] 	[3,4] 	[0,0,1,0,1]
82   38    15    1485   2125   90     [0] 	[] 	[1,0,0,1,0]
83   38    5     1202   1842   90     [3] 	[] 	[0,0,0,0,0]
84   38    10    1390   2030   90     [2] 	[0,4] 	[0,0,0,0,0]
85   35    5     1295   1935   90     [2] 	[] 	[0,1,0,0,0]
86   50    30    161    801    90     [4] 	[] 	[0,0,0,1,0]
87   50    35    18     658    90     [0] 	[3,4] 	[0,0,0,0,0]
88   50    40    14     654    90     [2] 	[0] 	[0,0,0,0,0]
89   48    30    253    893    90     [2] 	[] 	[0,0,0,0,0]
90   44    25    631    1271   90     [3] 	[1,4] 	[0,0,1,0,0]
91   47    35    348    988    90     [0] 	[3,4] 	[0,0,0,0,0]
92   47    40    12     652    90     [3] 	[] 	[0,0,1,0,1]
93   42    30    536    1176   90     [2] 	[] 	[0,1,1,0,0]
94   45    35    440    1080   90     [2] 	[0] 	[0,0,0,0,0]
95   95    30    2081   2721   90     [3] 	[1] 	[0,0,1,0,1]
96   95    35    1986   2626   90     [1] 	[1] 	[0,0,0,0,0]
97   53    30    68     708    90     [0] 	[] 	[0,0,0,0,0]
98   92    30    2174   2814   90     [4] 	[0] 	[1,0,0,0,0]
99   53    35    19     659    90     [1] 	[] 	[1,0,0,0,0]
100  45    65    15     655    90     [1] 	[1] 	[1,0,0,0,0]
101  90    35    1891   2531   90     [1] 	[0,1] 	[0,0,0,0,0]
102  72    45    2627   3267   90     [3] 	[1,4] 	[0,0,0,0,0]
103  78    40    2562   3202   90     [0] 	[4] 	[1,0,0,0,0]
104  87    30    2368   3008   90     [2] 	[4] 	[0,0,0,0,0]
105  85    25    2273   2913   90     [0] 	[3,4] 	[0,0,0,0,0]
106  85    35    2463   3103   90     [1] 	[] 	[0,0,0,0,0]
107  75    55    1685   2325   90     [0] 	[3,4] 	[0,0,0,0,0]
108  72    55    1592   2232   90     [4] 	[0] 	[0,0,0,0,0]
109  70    58    1401   2041   90     [2] 	[4] 	[0,1,1,0,0]
110  86    46    1789   2429   90     [4] 	[3] 	[1,0,0,1,0]
111  66    55    1496   2136   90     [4] 	[0] 	[1,0,0,1,0]
112  64    46    2635   3275   90     [3] 	[3] 	[0,0,1,0,0]
113  65    60    1306   1946   90     [0] 	[] 	[1,0,0,0,0]
114  56    64    1115   1755   90     [2] 	[0] 	[0,1,0,0,0]
115  60    55    2639   3279   90     [2] 	[] 	[0,0,0,0,0]
116  60    60    1211   1851   90     [1] 	[] 	[0,0,0,0,0]
117  67    85    454    1094   90     [1] 	[0,1] 	[1,0,0,0,0]
118  42    58    8      648    90     [4] 	[0] 	[1,0,0,0,0]
119  65    82    548    1188   90     [4] 	[] 	[0,0,0,0,0]
120  62    80    641    1281   90     [1] 	[1] 	[1,0,0,0,0]
121  62    40    2635   3275   90     [4] 	[] 	[1,0,0,0,0]
122  60    85    357    997    90     [3] 	[4] 	[0,0,0,0,1]
123  58    75    738    1378   90     [4] 	[0,2] 	[1,0,0,1,0]
124  55    80    167    807    90     [2] 	[] 	[0,0,0,0,0]
125  55    85    262    902    90     [1] 	[] 	[1,0,0,0,0]
