RC206.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    9     99    0      960    0      [1,4] 	[1] 	[0,0,4,0,4]
2    48    98    0      960    0      [1,4] 	[] 	[0,0,4,0,2]
3    86    86    0      960    0      [0,2,3] 	[1,3,4] 	[4,3,0,3,3]
4    100   78    0      960    0      [0,1,3] 	[2] 	[0,0,0,3,5]
5    7     59    0      960    0      [0,1,2,4] 	[2] 	[0,4,4,0,3]
6    54    22    0      960    0      [0,4] 	[1,2] 	[4,0,2,0,0]
7    16    24    0      960    0      [1,2,3,4] 	[1,2,4] 	[0,0,3,0,4]
8    40    91    0      960    0      [1,2,4] 	[] 	[0,2,5,0,3]
9    58    41    0      960    0      [0,4] 	[1,2] 	[3,0,3,0,0]
10   17    8     0      960    0      [0,1,2,4] 	[1,2,4] 	[2,4,4,0,5]
11   63    69    0      960    0      [0,2,4] 	[2] 	[0,0,5,0,3]
12   60    43    0      960    0      [0,2,3,4] 	[1,2,3,4] 	[0,4,0,2,3]
13   14    87    0      960    0      [0,3] 	[1,2,3,4] 	[2,0,0,3,0]
14   67    84    0      960    0      [0,1,2,4] 	[1,4] 	[3,3,3,0,0]
15   72    8     0      960    0      [0,1,2,3] 	[1] 	[3,5,2,2,5]
16   26    87    0      960    0      [1,3] 	[2,3,4] 	[0,0,3,0,2]
17   37    9     0      960    0      [1,3] 	[2,3,4] 	[0,0,4,5,3]
18   97    39    0      960    0      [0,1,2,4] 	[1,2,4] 	[0,2,3,0,0]
19   32    16    0      960    0      [0,1,2,4] 	[1,2,4] 	[2,2,2,0,2]
20   46    100   0      960    0      [0,2,4] 	[1,2] 	[2,2,3,0,4]
21   28    75    0      960    0      [0,2,4] 	[1,2] 	[0,0,2,0,2]
22   8     17    0      960    0      [2,4] 	[] 	[0,5,0,0,4]
23   46    37    0      960    0      [1,2,3,4] 	[1,2] 	[0,3,2,4,4]
24   7     15    0      960    0      [3,4] 	[1,2,3,4] 	[0,0,2,5,0]
25   55    5     0      960    0      [0,1,2,3] 	[1,2,3] 	[3,5,2,3,0]
26   25    85    613    853    10     [4] 	[1] 	[0,0,0,0,0]
27   22    75    92     332    10     [1] 	[] 	[0,0,1,0,0]
28   22    85    411    651    10     [1] 	[2] 	[0,0,0,0,0]
29   20    80    584    824    10     [1] 	[2,4] 	[0,0,0,0,0]
