RC104.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      240    0      [] 	[] 	[]
1    15    23    0      240    0      [0,2,3,4] 	[] 	[0,2,5,3,5]
2    79    100   0      240    0      [1,2,3,4] 	[] 	[0,4,2,3,5]
3    0     72    0      240    0      [0,1,3] 	[] 	[0,4,0,0,4]
4    42    9     0      240    0      [3,4] 	[1,2,3,4] 	[0,0,5,2,0]
5    25    51    0      240    0      [0,1,3] 	[1,2,3] 	[0,2,5,0,4]
6    92    73    0      240    0      [0,2,3,4] 	[] 	[0,5,2,5,4]
7    37    16    0      240    0      [0,2,3] 	[0,1,2,4] 	[0,3,4,0,5]
8    66    44    0      240    0      [0,2,3,4] 	[0,1,2,3,4] 	[0,5,3,5,5]
9    73    63    0      240    0      [1,2,3] 	[2] 	[0,3,5,0,0]
10   6     11    0      240    0      [2,4] 	[0,1,2,4] 	[0,0,0,2,4]
11   60    51    0      240    0      [0,1,3,4] 	[0,1,2] 	[0,3,4,5,2]
12   8     83    0      240    0      [0,3,4] 	[3,4] 	[0,0,3,0,3]
13   82    59    0      240    0      [0,1,2,4] 	[1] 	[0,0,0,2,2]
14   99    71    0      240    0      [0,1,3,4] 	[0,2,3,4] 	[0,4,4,3,4]
15   25    4     0      240    0      [1,2,3,4] 	[0,2,3,4] 	[0,2,2,5,3]
16   50    1     0      240    0      [0,1,2,3] 	[0,1,2,4] 	[0,4,4,0,0]
17   17    52    0      240    0      [0,1,2,4] 	[1,2,4] 	[0,5,3,4,2]
18   98    82    0      240    0      [0,1,4] 	[] 	[0,4,0,5,4]
19   41    19    0      240    0      [0,1,3] 	[0,2] 	[0,5,5,0,2]
20   54    45    0      240    0      [0,1,3,4] 	[1,2,3] 	[0,5,5,0,0]
21   55    68    0      240    0      [0,1,2,4] 	[0,4] 	[0,5,5,2,4]
22   20    31    0      240    0      [1,2,3,4] 	[0,1,2,3,4] 	[0,3,5,3,2]
23   22    61    0      240    0      [0,4] 	[1] 	[0,0,0,4,2]
24   43    28    0      240    0      [3,4] 	[4] 	[0,0,2,3,3]
25   50    49    0      240    0      [1,2,3,4] 	[0,1,2,3] 	[0,5,2,4,4]
26   25    85    0      191    10     [1] 	[1] 	[0,0,0,0,0]
27   22    75    0      199    10     [4] 	[4] 	[0,0,0,0,0]
28   22    85    0      190    10     [0] 	[0,1] 	[0,1,0,0,0]
29   20    80    141    171    10     [3] 	[3,4] 	[0,0,1,0,0]
30   20    85    0      189    10     [1] 	[] 	[0,0,0,0,0]
31   18    75    0      196    10     [1] 	[1,2] 	[0,0,0,0,0]
32   15    75    0      194    10     [2] 	[0,1] 	[0,0,1,0,0]
33   15    80    91     121    10     [1] 	[1] 	[0,0,0,0,0]
34   10    35    91     121    10     [0] 	[] 	[0,0,0,0,0]
35   10    40    0      198    10     [2] 	[0,1] 	[0,0,0,0,0]
36   8     40    59     89     10     [4] 	[4] 	[0,0,0,0,0]
37   8     45    0      197    10     [2] 	[0,2] 	[0,0,0,0,0]
38   5     35    142    172    10     [2] 	[] 	[0,0,0,0,0]
39   5     45    0      194    10     [2] 	[1,2] 	[0,0,0,0,0]
40   2     40    58     88     10     [0] 	[1] 	[0,0,0,0,1]
41   0     40    0      188    10     [3] 	[1,3] 	[0,0,1,0,0]
42   0     45    0      189    10     [3] 	[] 	[0,0,1,0,0]
43   44    5     0      184    10     [2] 	[0,1] 	[0,0,1,0,0]
44   42    10    0      189    10     [3] 	[] 	[0,0,1,0,0]
45   42    15    0      194    10     [3] 	[] 	[0,0,1,0,0]
46   40    5     0      185    10     [0] 	[] 	[0,1,0,0,1]
47   40    15    0      195    10     [3] 	[1,3] 	[0,0,1,0,0]
48   38    5     65     95     10     [3] 	[3,4] 	[0,0,1,0,0]
49   38    15    0      194    10     [4] 	[2,4] 	[0,0,0,0,1]
50   35    5     154    184    10     [4] 	[2] 	[0,0,0,1,0]
51   95    30    0      171    10     [0] 	[0,1] 	[0,0,0,0,0]
52   95    35    0      172    10     [0] 	[1] 	[0,0,0,0,1]
53   92    30    0      174    10     [4] 	[2,4] 	[0,0,0,0,1]
54   90    35    0      177    10     [1] 	[1,2] 	[0,1,0,0,0]
55   88    30    0      178    10     [3] 	[] 	[0,0,0,0,0]
56   88    35    0      179    10     [1] 	[2] 	[0,0,0,0,0]
57   87    30    0      178    10     [2] 	[1,2] 	[0,0,1,0,0]
58   85    25    0      178    10     [0] 	[0,1] 	[0,0,0,0,0]
59   85    35    0      182    10     [0] 	[] 	[0,0,0,0,1]
60   67    85    0      185    10     [0] 	[0,1] 	[0,1,0,0,0]
61   65    85    0      186    10     [3] 	[4] 	[0,0,1,0,0]
62   65    82    0      189    10     [0] 	[] 	[0,0,0,0,0]
63   62    80    75     105    10     [2] 	[] 	[0,0,1,0,0]
64   60    80    0      193    10     [3] 	[] 	[0,0,0,0,0]
65   60    85    0      189    10     [4] 	[4] 	[0,0,0,0,0]
66   58    75    0      199    10     [1] 	[] 	[0,1,0,0,0]
