RC103.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      240    0      [] 	[] 	[]
1    65    88    0      240    0      [1,2] 	[0,2,3] 	[0,0,0,4,5]
2    64    56    0      240    0      [2,3] 	[] 	[3,0,0,3,3]
3    70    2     0      240    0      [0,3,4] 	[0,1,2,3] 	[2,3,3,0,3]
4    52    70    0      240    0      [0,1] 	[1,2,3,4] 	[5,0,0,0,2]
5    6     94    0      240    0      [0,1,2,4] 	[0,1,2,3,4] 	[5,0,4,5,2]
6    19    57    0      240    0      [2,3,4] 	[0,1,2,4] 	[5,0,0,5,4]
7    73    16    0      240    0      [0,2,3,4] 	[] 	[3,3,2,2,2]
8    70    42    0      240    0      [0,2,3,4] 	[0,1,3,4] 	[4,3,0,4,4]
9    16    61    0      240    0      [1,2,3,4] 	[] 	[5,0,0,2,5]
10   77    39    0      240    0      [2,3] 	[0] 	[3,0,0,2,3]
11   18    68    0      240    0      [0,1,2,4] 	[0,2,4] 	[5,3,0,0,0]
12   69    36    0      240    0      [0,2,3,4] 	[0,3] 	[0,0,2,4,0]
13   23    35    0      240    0      [2,3] 	[1,3] 	[2,0,0,4,3]
14   7     56    0      240    0      [1,3,4] 	[] 	[5,0,0,0,3]
15   31    49    0      240    0      [2,4] 	[] 	[2,0,0,5,0]
16   96    74    0      240    0      [1,2,4] 	[1,2,3,4] 	[3,0,0,0,2]
17   78    5     0      240    0      [1,2,3,4] 	[1,2,3] 	[5,0,0,4,2]
18   37    45    0      240    0      [0,3] 	[1,3] 	[3,2,3,0,4]
19   79    30    0      240    0      [1,2] 	[] 	[5,0,0,2,4]
20   18    6     0      240    0      [0,2] 	[0,1,2,3,4] 	[0,3,3,5,0]
21   69    74    0      240    0      [0,1,2] 	[0,1] 	[4,4,2,2,2]
22   42    54    0      240    0      [0,3,4] 	[] 	[3,4,3,0,2]
23   88    33    0      240    0      [0,2,4] 	[1,3,4] 	[2,4,0,0,0]
24   10    76    0      240    0      [0,1,2,4] 	[] 	[5,4,5,5,0]
25   94    33    0      240    0      [0,2,3] 	[0,1,2,3,4] 	[0,2,4,0,0]
26   25    85    0      191    10     [0] 	[3] 	[0,0,1,0,0]
27   22    75    0      199    10     [1] 	[] 	[0,0,0,0,0]
28   22    85    0      190    10     [0] 	[1,3] 	[0,0,0,0,0]
29   20    80    141    171    10     [0] 	[3,4] 	[0,0,1,0,0]
30   20    85    0      189    10     [2] 	[2,3] 	[0,0,0,1,0]
31   18    75    95     125    10     [4] 	[] 	[1,0,0,0,0]
32   15    75    0      194    10     [0] 	[] 	[0,0,0,0,0]
33   15    80    91     121    10     [1] 	[] 	[0,0,0,0,0]
34   10    35    91     121    10     [0] 	[] 	[0,1,1,0,0]
35   10    40    119    149    10     [0] 	[] 	[0,0,0,0,0]
36   8     40    59     89     10     [0] 	[4] 	[0,1,1,0,0]
37   8     45    0      197    10     [1] 	[2,3] 	[0,0,0,0,1]
38   5     35    142    172    10     [3] 	[] 	[1,0,0,0,0]
39   5     45    0      194    10     [2] 	[0,2] 	[0,0,0,1,0]
40   2     40    58     88     10     [2] 	[] 	[0,0,0,1,0]
41   0     40    0      188    10     [3] 	[1] 	[1,0,0,0,1]
42   0     45    149    179    10     [1] 	[] 	[1,0,0,0,1]
43   44    5     0      184    10     [3] 	[2,3] 	[1,0,0,0,0]
44   42    10    0      189    10     [3] 	[1] 	[1,0,0,0,0]
45   42    15    0      194    10     [0] 	[3] 	[0,1,1,0,0]
46   40    5     0      185    10     [2] 	[2,3] 	[0,0,0,1,0]
47   40    15    92     122    10     [0] 	[] 	[0,0,0,0,0]
48   38    5     65     95     10     [1] 	[2,3] 	[1,0,0,0,1]
49   38    15    0      194    10     [1] 	[2,3] 	[0,0,0,0,0]
50   35    5     154    184    10     [0] 	[] 	[0,0,0,0,0]
51   95    30    0      171    10     [3] 	[1] 	[0,0,0,0,0]
52   95    35    62     92     10     [3] 	[] 	[1,0,0,0,0]
53   92    30    0      174    10     [1] 	[2,3] 	[0,0,0,0,0]
54   90    35    0      177    10     [1] 	[] 	[1,0,0,0,0]
55   88    30    74     104    10     [3] 	[2] 	[1,0,0,0,0]
56   88    35    0      179    10     [1] 	[3] 	[1,0,0,0,1]
57   87    30    0      178    10     [4] 	[0,1] 	[1,0,0,0,0]
58   85    25    51     81     10     [0] 	[] 	[0,0,1,0,0]
59   85    35    0      182    10     [0] 	[3] 	[0,0,0,0,0]
60   67    85    139    169    10     [3] 	[1] 	[0,0,0,0,1]
61   65    85    43     73     10     [4] 	[] 	[1,0,0,0,0]
62   65    82    0      189    10     [4] 	[] 	[1,0,0,0,0]
63   62    80    75     105    10     [2] 	[0,2] 	[0,0,0,1,0]
64   60    80    37     67     10     [0] 	[] 	[0,1,0,0,0]
65   60    85    85     115    10     [0] 	[1,4] 	[0,0,0,0,0]
66   58    75    92     122    10     [1] 	[2,3] 	[0,0,0,0,0]
67   55    80    33     63     10     [2] 	[2] 	[0,0,0,0,0]
