# Instance C201.100_25-5-5-5 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
26    -1
27    -1
28    -1
30    -1
32    -1
34    -1
35    -1
36    -1
39    -1
40    -1
41    -1
42    -1
43    -1
44    -1
46    -1
47    -1
48    -1
49    -1
50    -1
51    -1
52    -1
55    -1
57    -1
59    -1
62    -1
63    -1
67    -1
68    -1
69    -1
70    -1
73    -1
74    -1
75    -1
76    -1
77    -1
78    -1
79    -1
82    -1
83    -1
84    -1
85    -1
86    -1
88    -1
89    -1
90    -1
91    -1
92    -1
93    -1
95    -1
96    -1
97    -1
98    -1
99    -1
100   -1
101   -1
102   -1
104   -1
105   -1
106   -1
108   -1
109   -1
111   -1
112   -1
113   -1
114   -1
115   -1
116   -1
121   -1
122   -1
123   -1
29    859
31    76
33    747
37    1686
38    1291
45    8
53    585
54    66
56    192
58    219
60    360
61    116
64    566
65    818
66    1188
71    302
72    1491
80    435
81    156
87    51
94    321
103   502
107   1761
110   552
117   310
118   8
119   743
120   11
124   401
125   448
