# Instance R106.100_25-5-5-5 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
48    -1
57    -1
77    -1
78    -1
97    -1
98    -1
107   -1
110   -1
116   -1
117   -1
26    0
27    0
28    0
29    30
30    0
31    17
32    0
33    51
34    28
35    88
36    19
37    0
38    78
39    9
40    31
41    45
42    89
43    40
44    40
45    13
46    0
47    39
49    45
50    44
51    0
52    17
53    23
54    6
55    6
56    0
58    1
59    0
60    90
61    3
62    0
63    35
64    5
65    43
66    60
67    7
68    86
69    38
70    8
71    70
72    14
73    0
74    62
75    0
76    7
79    10
80    98
81    88
82    60
83    78
84    0
85    5
86    8
87    11
88    5
89    12
90    2
91    55
92    13
93    122
94    37
95    37
96    28
99    125
100   0
101   1
102   106
103   1
104   65
105   119
106   58
108   0
109   22
111   28
112   4
113   32
114   64
115   49
118   44
119   0
120   0
121   0
122   31
123   0
124   53
125   118
