# Instance RC208.100_25-5-5-5 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
28    -1
29    -1
32    -1
35    -1
36    -1
38    -1
44    -1
52    -1
53    -1
54    -1
56    -1
58    -1
61    -1
66    -1
70    -1
72    -1
75    -1
78    -1
79    -1
80    -1
81    -1
88    -1
93    -1
101   -1
103   -1
109   -1
111   -1
118   -1
123   -1
124   -1
26    71
27    2
30    20
31    140
33    52
34    111
37    17
39    12
40    23
41    9
42    361
43    55
45    103
46    4
47    209
48    22
49    69
50    153
51    135
55    44
57    361
59    190
60    205
62    267
63    84
64    12
65    104
67    2
68    188
69    6
71    54
73    0
74    21
76    71
77    1
82    94
83    378
84    26
85    188
86    18
87    15
89    14
90    8
91    271
92    29
94    3
95    80
96    74
97    9
98    64
99    100
100   38
102   176
104   94
105   417
106   27
107   2
108   14
110   129
112   196
113   40
114   317
115   173
116   65
117   0
119   72
120   17
121   256
122   334
125   22
