# Instance C207.100_25-5-5-5 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
29    -1
34    -1
35    -1
36    -1
37    -1
38    -1
40    -1
41    -1
44    -1
45    -1
47    -1
48    -1
51    -1
53    -1
55    -1
56    -1
58    -1
61    -1
62    -1
64    -1
65    -1
66    -1
67    -1
68    -1
70    -1
71    -1
73    -1
74    -1
81    -1
82    -1
83    -1
86    -1
88    -1
92    -1
94    -1
95    -1
97    -1
104   -1
105   -1
106   -1
108   -1
109   -1
110   -1
111   -1
113   -1
119   -1
120   -1
121   -1
123   -1
125   -1
26    258
27    140
28    675
30    12
31    108
32    944
33    440
39    607
42    1654
43    248
46    1199
49    5
50    1932
52    8
54    7
57    215
59    520
60    185
63    132
69    1520
72    855
75    1327
76    45
77    320
78    431
79    851
80    640
84    451
85    585
87    6
89    176
90    75
91    217
93    392
96    1801
98    1712
99    50
100   0
101   84
102   1544
103   314
107   914
112   307
114   977
115   132
116   898
117   266
118   0
122   383
124   345
