# Instance C104.100_25-5-5-5 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
26    -1
27    -1
28    -1
29    -1
33    -1
34    -1
35    -1
36    -1
37    -1
38    -1
39    -1
41    -1
48    -1
49    -1
50    -1
52    -1
53    -1
54    -1
55    -1
57    -1
58    -1
60    -1
61    -1
64    -1
65    -1
66    -1
67    -1
69    -1
70    -1
71    -1
72    -1
73    -1
75    -1
76    -1
78    -1
79    -1
81    -1
82    -1
83    -1
84    -1
86    -1
87    -1
89    -1
90    -1
91    -1
93    -1
94    -1
95    -1
96    -1
97    -1
98    -1
99    -1
100   -1
104   -1
106   -1
107   -1
109   -1
110   -1
111   -1
114   -1
115   -1
116   -1
117   -1
118   -1
119   -1
120   -1
121   -1
122   -1
124   -1
125   -1
30    0
31    0
32    0
40    170
42    0
43    0
44    0
45    0
46    0
47    0
51    0
56    0
59    0
62    0
63    199
68    0
74    0
77    0
80    26
85    0
88    0
92    2
101   168
102   522
103   0
105   0
108   0
112   34
113   0
123   0
