# Instance C104.100_25-5-5-5 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
29    -1
34    -1
39    -1
42    -1
48    -1
51    -1
52    -1
53    -1
57    -1
59    -1
64    -1
68    -1
70    -1
77    -1
85    -1
86    -1
92    -1
93    -1
99    -1
101   -1
104   -1
109   -1
110   -1
112   -1
115   -1
116   -1
117   -1
118   -1
122   -1
124   -1
26    0
27    0
28    0
30    0
31    0
32    0
33    95
35    0
36    320
37    0
38    6
40    133
41    0
43    0
44    0
45    0
46    0
47    0
49    0
50    25
54    0
55    0
56    0
58    0
60    0
61    0
62    0
63    89
65    0
66    0
67    0
69    206
71    0
72    0
73    0
74    0
75    0
76    0
78    246
79    0
80    59
81    0
82    0
83    388
84    0
87    12
88    0
89    0
90    0
91    0
94    684
95    0
96    0
97    0
98    0
100   0
102   140
103   0
105   0
106   0
107   0
108   0
111   0
113   0
114   0
119   0
120   0
121   0
123   0
125   113
