# Instance R206.100_25-5-5-5 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
28    -1
29    -1
31    -1
33    -1
34    -1
45    -1
47    -1
49    -1
50    -1
51    -1
57    -1
60    -1
64    -1
66    -1
76    -1
79    -1
80    -1
82    -1
85    -1
88    -1
89    -1
90    -1
91    -1
93    -1
98    -1
107   -1
110   -1
114   -1
121   -1
125   -1
26    0
27    0
30    0
32    0
35    291
36    134
37    0
38    110
39    13
40    63
41    77
42    277
43    125
44    134
46    0
48    54
52    51
53    36
54    121
55    144
56    0
58    17
59    0
61    17
62    0
63    107
65    29
67    5
68    58
69    49
70    6
71    176
72    10
73    0
74    393
75    0
77    0
78    91
81    173
83    256
84    0
86    78
87    111
92    72
94    59
95    634
96    95
97    0
99    302
100   0
101   160
102   591
103   159
104   103
105   315
106   211
108   0
109   136
111   242
112   112
113   57
115   149
116   0
117   16
118   427
119   0
120   0
122   166
123   0
124   43
