# Instance R110.100_25-5-5-5 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
29    -1
30    -1
33    -1
34    -1
36    -1
37    -1
38    -1
39    -1
40    -1
43    -1
44    -1
46    -1
49    -1
50    -1
51    -1
52    -1
53    -1
54    -1
56    -1
57    -1
58    -1
59    -1
61    -1
62    -1
63    -1
64    -1
65    -1
66    -1
67    -1
68    -1
69    -1
70    -1
71    -1
73    -1
74    -1
75    -1
78    -1
79    -1
80    -1
81    -1
82    -1
85    -1
86    -1
87    -1
88    -1
90    -1
91    -1
93    -1
94    -1
95    -1
96    -1
97    -1
99    -1
101   -1
102   -1
103   -1
105   -1
106   -1
108   -1
109   -1
111   -1
112   -1
115   -1
116   -1
118   -1
119   -1
120   -1
121   -1
124   -1
125   -1
26    70
27    19
28    67
31    1
32    15
35    30
41    53
42    30
45    0
47    10
48    3
55    18
60    39
72    21
76    41
77    2
83    22
84    14
89    9
92    28
98    54
100   30
104   38
107   22
110   62
113   4
114   66
117   17
122   51
123   10
