# Instance RC102.100_25-5-5-5 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
37    -1
39    -1
60    -1
73    -1
81    -1
82    -1
92    -1
100   -1
108   -1
123   -1
26    0
27    0
28    0
29    47
30    0
31    47
32    0
33    11
34    8
35    93
36    21
38    4
40    19
41    5
42    6
43    30
44    6
45    91
46    0
47    13
48    1
49    5
50    40
51    0
52    4
53    5
54    3
55    24
56    0
57    70
58    2
59    0
61    0
62    0
63    12
64    10
65    47
66    10
67    0
68    52
69    28
70    8
71    33
72    5
74    75
75    0
76    3
77    0
78    4
79    67
80    119
83    22
84    0
85    93
86    47
87    21
88    10
89    25
90    1
91    3
93    116
94    41
95    59
96    22
97    0
98    31
99    57
101   31
102   56
103   61
104   44
105   13
106   28
107   0
109   57
110   0
111   63
112   62
113   8
114   55
115   48
116   0
117   6
118   107
119   0
120   0
121   0
122   38
124   52
125   17
