# Instance C107.100_25-5-5-5 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
27    -1
28    -1
29    -1
31    -1
34    -1
35    -1
36    -1
38    -1
39    -1
40    -1
41    -1
42    -1
45    -1
47    -1
49    -1
50    -1
55    -1
61    -1
63    -1
64    -1
66    -1
67    -1
68    -1
69    -1
72    -1
73    -1
74    -1
76    -1
78    -1
79    -1
81    -1
82    -1
83    -1
84    -1
87    -1
90    -1
94    -1
96    -1
97    -1
98    -1
100   -1
101   -1
105   -1
106   -1
108   -1
110   -1
112   -1
113   -1
116   -1
125   -1
26    562
30    10
32    0
33    24
37    109
43    41
44    108
46    402
48    43
51    107
52    154
53    160
54    21
56    127
57    8
58    22
59    271
60    177
62    232
65    42
70    183
71    54
75    627
77    803
80    8
85    403
86    176
88    85
89    260
91    313
92    5
93    632
95    58
99    268
102   81
103   30
104   263
107   64
109   328
111   110
114   436
115   17
117   222
118   391
119   20
120   86
121   35
122   234
123   30
124   357
