# Instance R208.100_25-5-5-5 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
26    -1
32    -1
37    -1
38    -1
41    -1
42    -1
44    -1
47    -1
54    -1
55    -1
57    -1
58    -1
59    -1
61    -1
65    -1
67    -1
69    -1
84    -1
85    -1
89    -1
90    -1
92    -1
96    -1
101   -1
114   -1
115   -1
116   -1
118   -1
120   -1
125   -1
27    0
28    0
29    458
30    0
31    0
33    39
34    16
35    0
36    28
39    0
40    106
43    0
45    0
46    0
48    130
49    0
50    192
51    0
52    0
53    0
56    0
60    0
62    0
63    165
64    0
66    0
68    0
70    0
71    0
72    0
73    0
74    0
75    0
76    0
77    0
78    89
79    0
80    228
81    0
82    0
83    136
86    0
87    104
88    0
91    0
93    0
94    83
95    0
97    0
98    0
99    498
100   0
102   148
103   0
104   6
105   0
106   0
107   0
108   0
109   168
110   0
111   0
112   273
113   0
117   13
119   0
121   0
122   0
123   0
124   104
