51	-1
28	-1
2	-1
27	-1
95	-1
83	-1
72	-1
44	-1
59	-1
5	-1
23	-1
70	-1
88	-1
4	-1
3	-1
18	-1
14	-1
38	-1
50	-1
79	-1
89	-1
55	-1
53	-1
41	-1
100	-1
29	-1
26	-1
17	-1
32	-1
73	-1
46	84
10	46
61	36
92	5
67	40
81	77
33	3
62	9
12	6
57	62
47	27
21	26
68	32
49	82
1	125
63	8
84	66
15	28
86	28
69	10
37	51
42	3
98	13
77	31
60	12
45	25
34	20
36	34
71	18
66	46
39	12
65	39
93	107
87	50
58	5
19	26
43	63
80	59
16	49
56	76
9	61
8	3
75	33
31	5
78	1
48	60
64	25
52	20
74	20
54	81
30	18
94	56
11	40
85	32
90	26
91	43
22	19
13	17
97	97
6	67
40	11
7	27
82	12
35	102
76	34
20	47
99	21
24	104
96	31
25	30
