53	-1
24	-1
55	-1
32	-1
5	-1
8	-1
43	-1
25	-1
68	-1
3	-1
50	233
13	5
29	140
16	315
87	8
15	59
77	61
78	2
1	385
63	121
60	238
45	57
7	14
89	133
6	179
59	50
99	495
19	13
46	76
62	28
66	162
100	1
88	476
80	366
85	272
10	71
73	104
33	8
30	252
91	130
74	69
14	412
21	538
38	68
27	85
17	6
82	87
41	14
47	141
67	1
51	224
56	95
42	5
86	17
65	9
37	64
49	721
79	490
28	344
52	403
64	270
94	96
96	31
61	131
18	21
93	63
75	54
69	27
72	239
84	75
70	8
23	280
40	38
20	5
98	26
58	82
92	192
26	80
9	308
34	144
81	20
12	219
36	28
44	168
76	6
35	41
54	24
57	13
97	13
2	395
39	367
11	13
4	552
71	20
95	36
83	19
22	468
90	4
31	14
48	146
