72	-1
83	-1
92	-1
14	-1
42	-1
35	-1
95	-1
96	-1
45	-1
73	-1
94	-1
26	-1
70	-1
39	-1
10	-1
53	-1
80	-1
44	-1
90	-1
5	-1
9	-1
65	-1
76	-1
8	-1
97	-1
20	-1
18	-1
49	-1
17	-1
34	-1
24	-1
61	-1
41	-1
12	-1
31	-1
1	-1
13	-1
63	-1
3	-1
30	-1
67	-1
2	-1
98	-1
7	-1
57	-1
68	-1
55	-1
85	-1
40	-1
89	-1
75	59
46	92
38	48
33	8
58	36
82	9
28	24
15	34
36	23
66	36
99	52
23	33
21	11
100	93
54	77
88	43
6	82
60	106
62	34
37	5
87	5
52	20
16	13
64	51
22	40
59	13
69	34
11	17
29	3
91	145
4	89
81	52
77	14
48	145
19	25
43	54
71	22
84	62
74	49
32	12
56	34
93	23
51	28
27	51
47	22
78	64
50	88
25	72
79	86
86	76
