C201.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      3390   0      [] 	[] 	[]
1    5     64    0      3390   0      [0,1,3,4] 	[] 	[0,4,0,4,5]
2    15    5     0      3390   0      [1,4] 	[3] 	[0,4,0,2,0]
3    90    74    0      3390   0      [0,3,4] 	[0,1,3,4] 	[0,5,0,4,4]
4    86    19    0      3390   0      [0,1,2,4] 	[] 	[0,4,4,3,2]
5    96    11    0      3390   0      [1,2,3,4] 	[1,2,3,4] 	[0,5,5,4,2]
6    3     32    0      3390   0      [0,3] 	[4] 	[0,0,0,4,2]
7    100   23    0      3390   0      [1,4] 	[1,2,3,4] 	[0,5,0,3,0]
8    37    62    0      3390   0      [0,1,4] 	[0,2,4] 	[0,3,0,4,5]
9    19    51    0      3390   0      [0,2] 	[0,1,2,3] 	[0,0,3,2,4]
10   29    96    0      3390   0      [1,3,4] 	[] 	[0,5,0,2,2]
11   54    8     0      3390   0      [0,4] 	[0,1,4] 	[0,3,0,0,2]
12   80    14    0      3390   0      [0,1,2,4] 	[3] 	[0,0,2,4,4]
13   72    69    0      3390   0      [0,2,3,4] 	[0,3] 	[0,3,4,5,5]
14   28    91    0      3390   0      [0,1,2,3] 	[0,1,2,3,4] 	[0,0,4,4,4]
15   89    56    0      3390   0      [0,2,3] 	[0,3] 	[0,0,2,0,2]
16   28    97    0      3390   0      [0,3] 	[1] 	[0,0,0,3,5]
17   20    14    0      3390   0      [0,1,3] 	[] 	[0,0,0,5,5]
18   34    49    0      3390   0      [1,2,3,4] 	[1,2,3,4] 	[0,2,4,5,5]
19   74    94    0      3390   0      [0,3,4] 	[0,1,3,4] 	[0,4,0,0,2]
20   83    25    0      3390   0      [0,1,3,4] 	[1,4] 	[0,2,0,5,4]
21   2     48    0      3390   0      [0,1] 	[0,1,2,4] 	[0,0,0,5,3]
22   45    95    0      3390   0      [2,4] 	[3] 	[0,4,3,2,0]
