RC202.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    89    21    0      960    0      [0,2,3,4] 	[0,1,2,3,4] 	[2,3,0,3,0]
2    72    6     0      960    0      [1,2,3] 	[0,2,3,4] 	[2,4,0,2,0]
3    70    48    0      960    0      [0,3,4] 	[2] 	[2,0,0,5,4]
4    26    57    0      960    0      [3,4] 	[0,1,4] 	[5,0,0,3,4]
5    37    12    0      960    0      [0,1,2,4] 	[0,1,3] 	[4,3,0,5,4]
6    67    95    0      960    0      [0,3,4] 	[0,2,3,4] 	[4,0,0,2,5]
7    55    24    0      960    0      [0,1,2] 	[] 	[4,5,0,4,0]
8    50    19    0      960    0      [0,2] 	[0,2,4] 	[0,3,0,5,0]
9    89    20    0      960    0      [2,3,4] 	[4] 	[3,3,0,3,4]
10   56    61    0      960    0      [0,2] 	[2] 	[0,5,0,5,0]
11   32    51    0      960    0      [2,4] 	[0] 	[2,4,0,0,2]
12   84    48    0      960    0      [0,4] 	[2] 	[5,0,0,5,4]
13   0     63    0      960    0      [0,2,3] 	[0,2,3,4] 	[0,5,0,5,0]
14   85    60    0      960    0      [0,1] 	[] 	[3,0,0,4,0]
15   17    31    0      960    0      [0,2] 	[0,2,4] 	[0,5,0,5,0]
16   3     79    0      960    0      [1,2,3,4] 	[0,2,3] 	[2,3,0,2,2]
17   73    86    0      960    0      [0,1,2,4] 	[2,4] 	[2,2,0,4,5]
18   18    85    0      960    0      [3,4] 	[] 	[3,0,0,5,2]
19   64    55    0      960    0      [1,2,3,4] 	[4] 	[3,4,0,3,5]
20   42    52    0      960    0      [0,2] 	[] 	[0,5,0,4,0]
21   70    29    0      960    0      [0,1,2,3] 	[0,4] 	[5,2,0,3,0]
22   92    2     0      960    0      [1,3,4] 	[] 	[0,0,0,3,4]
23   4     85    0      960    0      [0,3,4] 	[1,2] 	[3,0,0,4,2]
24   92    31    0      960    0      [0,1,4] 	[1,4] 	[2,0,0,4,5]
25   12    28    0      960    0      [0,1,2,3] 	[0] 	[5,5,0,4,0]
26   25    85    0      911    10     [2] 	[0] 	[0,0,0,0,0]
27   22    75    0      919    10     [3] 	[0,3] 	[0,0,0,1,0]
28   22    85    0      910    10     [4] 	[1,4] 	[0,0,0,0,0]
29   20    80    644    764    10     [4] 	[] 	[0,0,0,0,0]
30   20    85    0      909    10     [2] 	[] 	[0,1,0,0,0]
31   18    75    388    508    10     [0] 	[] 	[0,0,0,1,0]
32   15    75    0      914    10     [0] 	[2,4] 	[0,0,0,0,0]
33   15    80    367    487    10     [4] 	[1,4] 	[1,0,0,0,1]
34   10    35    371    491    10     [3] 	[] 	[0,0,0,1,0]
35   10    40    519    639    10     [4] 	[] 	[0,0,0,0,0]
36   8     40    195    315    10     [2] 	[2] 	[0,0,0,0,0]
37   8     45    0      917    10     [4] 	[] 	[1,0,0,0,1]
38   5     35    653    773    10     [2] 	[] 	[0,1,0,0,0]
39   5     45    35     155    10     [2] 	[] 	[0,1,0,0,0]
40   2     40    174    294    10     [2] 	[0,4] 	[0,1,0,0,0]
41   0     40    255    375    10     [4] 	[] 	[0,0,0,0,0]
42   0     45    703    823    10     [4] 	[] 	[0,0,0,0,1]
