RC201.100_25-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    58    72    0      960    0      [0,3] 	[1,3,4] 	[3,0,0,2,0]
2    41    53    0      960    0      [0,1,2,3] 	[1,2,3] 	[4,0,3,5,0]
3    7     40    0      960    0      [0,1,3] 	[0,1,2,3,4] 	[2,0,2,3,0]
4    95    69    0      960    0      [0,2,3,4] 	[0,2,4] 	[0,3,0,4,0]
5    44    65    0      960    0      [1,2,3,4] 	[0,4] 	[2,5,2,0,0]
6    8     44    0      960    0      [0,1,2,3] 	[0,1,2,3,4] 	[5,0,3,4,0]
7    13    14    0      960    0      [0,3] 	[] 	[3,0,4,0,0]
8    0     94    0      960    0      [0,3] 	[] 	[3,0,4,3,0]
9    11    74    0      960    0      [0,2,4] 	[] 	[4,4,0,4,0]
10   76    23    0      960    0      [1,2,3,4] 	[0,1,2,4] 	[5,0,4,0,0]
11   12    78    0      960    0      [1,3,4] 	[1,2,4] 	[4,0,4,0,0]
12   66    23    0      960    0      [0,1,4] 	[] 	[0,2,0,5,0]
13   25    74    0      960    0      [2,4] 	[] 	[4,3,0,0,0]
14   21    19    0      960    0      [2,4] 	[2] 	[4,3,0,0,0]
15   9     94    0      960    0      [1,3,4] 	[4] 	[3,3,5,0,0]
16   26    45    0      960    0      [0,1,2] 	[] 	[3,0,0,2,0]
17   67    40    0      960    0      [0,1,2,3] 	[] 	[2,0,3,4,0]
18   94    57    0      960    0      [0,2,4] 	[0,1,2,3,4] 	[0,2,0,3,0]
19   71    87    0      960    0      [0,2] 	[1,3,4] 	[2,0,0,4,0]
20   35    13    0      960    0      [0,1,2,3] 	[1,2] 	[0,0,5,2,0]
21   53    36    0      960    0      [0,1] 	[0,1,2,3] 	[3,0,0,5,0]
22   1     15    0      960    0      [1,2,3,4] 	[] 	[2,0,3,0,0]
23   33    99    0      960    0      [2,4] 	[1,4] 	[2,4,0,0,0]
24   21    33    0      960    0      [0,3,4] 	[0,1,2,3,4] 	[4,0,2,5,0]
25   44    63    0      960    0      [0,1,3,4] 	[0,1,2,3,4] 	[0,4,5,4,0]
26   25    85    673    793    10     [3] 	[4] 	[1,0,1,0,0]
27   22    75    152    272    10     [3] 	[4] 	[1,0,1,0,0]
28   22    85    471    591    10     [3] 	[] 	[1,0,1,0,0]
29   20    80    644    764    10     [4] 	[1] 	[0,1,0,0,0]
30   20    85    73     193    10     [0] 	[] 	[0,0,0,1,0]
31   18    75    388    508    10     [4] 	[0,2] 	[0,1,0,0,0]
32   15    75    300    420    10     [2] 	[0,4] 	[0,0,0,0,0]
33   15    80    367    487    10     [3] 	[4] 	[1,0,1,0,0]
34   10    35    371    491    10     [1] 	[0,2] 	[0,0,0,0,0]
35   10    40    519    639    10     [4] 	[1,2] 	[0,1,0,0,0]
36   8     40    195    315    10     [0] 	[1,3] 	[0,0,0,1,0]
37   8     45    223    343    10     [3] 	[1,4] 	[1,0,0,0,0]
38   5     35    653    773    10     [2] 	[] 	[0,0,0,0,0]
39   5     45    35     155    10     [2] 	[] 	[0,0,0,0,0]
40   2     40    174    294    10     [0] 	[] 	[0,0,0,0,0]
41   0     40    255    375    10     [3] 	[1,4] 	[0,0,0,0,0]
42   0     45    703    823    10     [4] 	[0,1] 	[0,1,0,0,0]
43   44    5     335    455    10     [2] 	[0] 	[0,0,0,0,0]
44   42    10    254    374    10     [2] 	[1,4] 	[1,0,0,0,0]
45   42    15    537    657    10     [1] 	[0,2] 	[0,0,0,0,0]
46   40    5     215    335    10     [0] 	[1,3] 	[0,0,0,1,0]
47   40    15    375    495    10     [2] 	[] 	[1,0,0,0,0]
48   38    5     201    321    10     [0] 	[] 	[0,0,0,1,0]
49   38    15    681    801    10     [1] 	[0] 	[1,0,0,0,0]
50   35    5     784    904    10     [0] 	[] 	[0,0,0,1,0]
51   95    30    529    649    10     [4] 	[0,2] 	[0,1,0,0,0]
52   95    35    146    266    10     [1] 	[2] 	[0,0,0,0,0]
53   92    30    149    269    10     [3] 	[4] 	[0,0,0,0,0]
54   90    35    194    314    10     [2] 	[0] 	[1,0,0,0,0]
