R102.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    65    67    0      230    0      [0,3,4] 	[] 	[0,2,2,0,2]
2    27    54    0      230    0      [0,1,3,4] 	[0,1,2,4] 	[5,4,4,0,0]
3    63    43    0      230    0      [1,2,4] 	[0,2,3,4] 	[0,5,4,0,0]
4    28    27    0      230    0      [0,1,3,4] 	[0,1,2,4] 	[3,0,2,0,0]
5    95    30    0      230    0      [1,3,4] 	[0,1,2,4] 	[0,0,3,0,4]
6    77    81    0      230    0      [0,3,4] 	[] 	[0,5,0,0,4]
7    9     6     0      230    0      [1,3,4] 	[0,1,2,4] 	[3,0,4,0,4]
8    4     80    0      230    0      [2,3,4] 	[0,1,3,4] 	[0,5,5,5,2]
9    82    24    0      230    0      [0,2,3,4] 	[0,1,2,3] 	[3,2,0,0,2]
10   23    24    0      230    0      [0,1,2] 	[0,1,2] 	[2,0,0,0,3]
11   17    80    0      230    0      [1,2,3,4] 	[0,1,2,3] 	[3,2,4,4,5]
12   11    7     0      230    0      [0,2] 	[1] 	[5,2,0,3,4]
13   93    76    0      230    0      [0,1,2,4] 	[1] 	[0,0,0,3,2]
14   41    49    0      204    10     [2] 	[0,2] 	[0,0,0,0,1]
15   35    17    0      202    10     [1] 	[0] 	[0,0,0,0,0]
16   55    45    0      197    10     [3] 	[2,4] 	[0,0,0,0,0]
17   55    20    149    159    10     [1] 	[1,4] 	[0,0,1,0,0]
18   15    30    0      199    10     [4] 	[1,4] 	[0,0,0,0,1]
19   25    30    99     109    10     [3] 	[2] 	[0,0,1,0,1]
20   20    50    0      198    10     [1] 	[0,4] 	[0,0,1,0,0]
21   10    43    95     105    10     [1] 	[0] 	[1,0,0,0,0]
22   55    60    97     107    10     [2] 	[] 	[0,0,0,1,1]
23   30    60    124    134    10     [2] 	[2] 	[0,0,0,1,1]
24   20    65    67     77     10     [2] 	[2] 	[0,0,0,1,1]
25   50    35    0      205    10     [4] 	[1] 	[0,1,0,0,1]
26   30    25    159    169    10     [1] 	[0,4] 	[1,0,1,0,0]
27   15    10    32     42     10     [3] 	[2,4] 	[0,0,1,0,1]
28   30    5     61     71     10     [1] 	[4] 	[1,0,1,0,0]
29   10    20    75     85     10     [0] 	[1] 	[1,1,0,0,0]
30   5     30    157    167    10     [4] 	[1,4] 	[0,0,0,0,0]
31   20    40    87     97     10     [4] 	[1] 	[0,0,0,0,1]
32   15    60    76     86     10     [3] 	[] 	[0,0,1,0,0]
33   45    65    126    136    10     [2] 	[] 	[0,0,0,0,1]
34   45    20    0      201    10     [2] 	[] 	[0,0,0,1,1]
35   45    10    97     107    10     [1] 	[1] 	[1,0,1,0,0]
36   55    5     68     78     10     [3] 	[] 	[0,0,0,0,1]
37   65    35    153    163    10     [1] 	[1,4] 	[1,0,1,0,0]
38   65    20    172    182    10     [3] 	[4] 	[0,0,0,0,1]
39   45    30    0      208    10     [0] 	[0,1] 	[0,0,0,0,0]
40   35    40    37     47     10     [2] 	[2] 	[0,0,0,0,0]
41   41    37    39     49     10     [0] 	[] 	[1,0,0,0,0]
42   64    42    63     73     10     [0] 	[1] 	[0,0,0,0,0]
43   40    60    71     81     10     [3] 	[] 	[0,0,0,0,1]
44   31    52    0      202    10     [0] 	[0,1] 	[0,0,0,0,0]
45   35    69    141    151    10     [2] 	[0,2] 	[0,0,0,1,1]
46   53    52    37     47     10     [1] 	[0,4] 	[1,0,1,0,0]
