C102.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      1236   0      [] 	[] 	[]
1    56    64    0      1236   0      [2,3,4] 	[0,1,2,3] 	[3,2,5,0,3]
2    74    10    0      1236   0      [1,3,4] 	[0,1,3] 	[4,5,3,3,0]
3    93    65    0      1236   0      [0,1,3] 	[1,2,3,4] 	[0,0,2,0,4]
4    59    52    0      1236   0      [1,2,3,4] 	[0,2,3,4] 	[5,3,0,0,0]
5    59    20    0      1236   0      [0,1,4] 	[0,4] 	[0,5,0,4,5]
6    51    49    0      1236   0      [2,4] 	[1,2,3,4] 	[0,2,0,0,5]
7    8     8     0      1236   0      [0,2,3,4] 	[0,1,2,3,4] 	[0,4,4,0,0]
8    50    87    0      1236   0      [0,1,2,3] 	[] 	[3,0,5,0,0]
9    100   89    0      1236   0      [0,2,4] 	[] 	[0,0,0,4,4]
10   90    58    0      1236   0      [0,4] 	[] 	[0,2,0,2,3]
11   13    52    0      1236   0      [0,2] 	[2,3] 	[0,0,0,2,4]
12   95    47    0      1236   0      [1,3] 	[0,1,4] 	[5,0,2,5,0]
13   1     54    0      1236   0      [1,2,3,4] 	[] 	[5,2,4,0,4]
14   45    68    0      1127   90     [4] 	[] 	[0,1,0,0,0]
15   45    70    0      1125   90     [3] 	[0,4] 	[0,0,0,0,0]
16   42    66    0      1129   90     [0] 	[3] 	[0,0,0,0,0]
17   42    68    727    782    90     [1] 	[0] 	[0,0,0,1,0]
18   42    65    0      1130   90     [4] 	[] 	[0,0,0,0,0]
19   40    69    621    702    90     [1] 	[0,1] 	[0,0,0,1,0]
20   40    66    0      1130   90     [2] 	[2] 	[0,0,0,0,1]
21   38    68    255    324    90     [0] 	[2,3] 	[0,0,0,1,1]
22   38    70    534    605    90     [3] 	[] 	[1,0,1,0,0]
