R209.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    6     14    0      1000   0      [0,4] 	[3] 	[4,0,3,2,0]
2    1     4     0      1000   0      [0,1] 	[2] 	[4,0,4,0,0]
3    67    75    0      1000   0      [1,2,3] 	[1,2] 	[5,0,4,2,0]
4    62    6     0      1000   0      [0,2,3,4] 	[1,2,3] 	[0,0,2,4,0]
5    58    22    0      1000   0      [0,1,4] 	[] 	[0,0,3,5,0]
6    41    61    0      1000   0      [0,2,3] 	[2,3] 	[2,0,2,5,0]
7    41    85    0      1000   0      [0,1,4] 	[1,2,3] 	[4,0,3,5,0]
8    42    64    0      1000   0      [0,1,3,4] 	[1,2,3] 	[4,0,3,3,0]
9    90    62    0      1000   0      [1,2,3,4] 	[] 	[3,0,2,0,0]
10   4     68    0      1000   0      [1,2,3,4] 	[] 	[3,0,4,5,0]
11   6     80    0      1000   0      [0,1,2,4] 	[1,3] 	[4,0,3,5,0]
12   16    32    0      1000   0      [0,2] 	[1,3] 	[3,0,4,0,0]
13   87    91    0      1000   0      [2,3] 	[1,2] 	[3,0,2,3,0]
14   41    49    636    919    10     [2] 	[1] 	[1,0,0,0,0]
15   35    17    74     351    10     [2] 	[3] 	[1,0,0,0,0]
16   55    45    498    613    10     [2] 	[1] 	[0,0,0,0,0]
17   55    20    470    965    10     [4] 	[] 	[0,0,1,0,0]
18   15    30    20     370    10     [3] 	[1,2] 	[0,0,0,1,0]
19   25    30    266    663    10     [3] 	[1] 	[0,0,0,1,0]
20   20    50    292    449    10     [0] 	[] 	[0,0,0,0,0]
21   10    43    288    597    10     [2] 	[1] 	[0,0,0,0,0]
22   55    60    254    643    10     [1] 	[1,2] 	[0,0,1,0,0]
23   30    60    496    713    10     [2] 	[1,3] 	[0,0,0,0,0]
24   20    65    33     510    10     [0] 	[] 	[1,0,1,0,0]
25   50    35    170    403    10     [3] 	[2] 	[0,0,1,1,0]
26   30    25    426    978    10     [0] 	[3] 	[1,0,0,0,0]
27   15    10    32     454    10     [4] 	[2] 	[0,0,0,0,0]
28   30    5     30     529    10     [3] 	[1,3] 	[0,0,1,1,0]
29   10    20    222    423    10     [4] 	[] 	[0,0,0,0,0]
30   5     30    409    959    10     [0] 	[1] 	[0,0,0,0,0]
31   20    40    349    462    10     [3] 	[2,3] 	[0,0,1,0,0]
32   15    60    215    432    10     [3] 	[2] 	[0,0,0,0,0]
33   45    65    538    709    10     [1] 	[] 	[0,0,0,0,0]
34   45    20    156    389    10     [0] 	[1,3] 	[0,0,1,0,0]
35   45    10    280    623    10     [3] 	[] 	[0,0,0,1,0]
36   55    5     36     513    10     [4] 	[1,2] 	[0,0,1,1,0]
37   65    35    633    918    10     [1] 	[] 	[0,0,0,0,0]
38   65    20    400    956    10     [3] 	[1,3] 	[0,0,0,1,0]
