C109.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      1236   0      [] 	[] 	[]
1    89    57    0      1236   0      [0,1,2,4] 	[0,2,4] 	[0,3,0,0,4]
2    89    26    0      1236   0      [0,1,2,3] 	[1,2,3,4] 	[0,5,5,0,5]
3    52    50    0      1236   0      [0,2,3,4] 	[2,3,4] 	[0,0,4,0,4]
4    78    54    0      1236   0      [0,1] 	[0,1,2,4] 	[0,5,0,0,5]
5    70    17    0      1236   0      [0,1,2,4] 	[] 	[0,2,0,0,5]
6    43    77    0      1236   0      [1,2,4] 	[] 	[0,5,0,0,5]
7    15    78    0      1236   0      [0,1,2,4] 	[0,1,4] 	[0,2,0,0,3]
8    65    97    0      1236   0      [0,1,3,4] 	[4] 	[0,5,3,0,3]
9    69    34    0      1236   0      [0,1,2,4] 	[0,2] 	[0,5,0,0,5]
10   32    57    0      1236   0      [0,1] 	[1,2,4] 	[0,4,0,0,2]
11   14    42    0      1236   0      [0,2,3,4] 	[0,1,2] 	[0,5,4,0,3]
12   0     3     0      1236   0      [1,2] 	[] 	[0,3,0,0,0]
13   85    45    0      1236   0      [1,3] 	[1,3,4] 	[0,3,0,0,4]
14   45    68    760    1120   90     [0] 	[] 	[0,1,0,0,0]
15   45    70    668    1028   90     [4] 	[0] 	[0,1,0,0,0]
16   42    66    16     376    90     [0] 	[] 	[0,1,0,0,0]
17   42    68    575    935    90     [4] 	[4] 	[0,1,0,0,0]
18   42    65    15     375    90     [0] 	[1] 	[0,1,0,0,1]
19   40    69    482    842    90     [0] 	[0,2] 	[0,0,0,0,0]
20   40    66    18     378    90     [0] 	[0,1] 	[0,0,0,0,0]
21   38    68    110    470    90     [4] 	[] 	[0,0,0,0,1]
22   38    70    390    750    90     [0] 	[0] 	[0,0,0,0,0]
23   35    66    204    564    90     [4] 	[0,4] 	[0,0,0,0,0]
24   35    69    297    657    90     [2] 	[] 	[0,1,0,0,0]
25   25    85    507    867    90     [0] 	[1] 	[0,0,0,0,1]
26   22    75    30     390    90     [0] 	[] 	[0,1,0,0,1]
27   22    85    414    774    90     [3] 	[1] 	[0,0,0,0,1]
28   20    80    227    587    90     [4] 	[] 	[0,1,0,0,0]
29   20    85    322    682    90     [2] 	[] 	[0,1,0,0,0]
30   18    75    33     393    90     [4] 	[0,4] 	[0,1,0,0,0]
31   15    75    37     397    90     [4] 	[0,4] 	[0,1,0,0,1]
32   15    80    132    492    90     [3] 	[1,3] 	[0,0,1,0,1]
33   30    50    10     370    90     [1] 	[] 	[0,0,0,0,0]
34   30    52    760    1120   90     [0] 	[] 	[0,1,0,0,1]
35   28    52    668    1028   90     [3] 	[] 	[0,0,1,0,1]
36   28    55    575    935    90     [2] 	[0,2] 	[0,1,0,0,0]
37   25    50    15     375    90     [3] 	[1,3] 	[0,0,1,0,0]
38   25    52    17     377    90     [3] 	[1,3] 	[0,0,1,0,0]
39   25    55    482    842    90     [3] 	[1,3] 	[0,0,0,0,1]
