R208.100_13-5-5-5

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
13      5       5       5

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    5     97    0      1000   0      [1,2,3,4] 	[0,1,2,3,4] 	[4,3,0,0,0]
2    54    12    0      1000   0      [0,1,3] 	[0,1,2] 	[5,5,0,3,0]
3    98    92    0      1000   0      [0,2,4] 	[0,2,3,4] 	[5,0,0,4,0]
4    7     32    0      1000   0      [0,1,2] 	[0,1] 	[3,2,0,5,0]
5    62    11    0      1000   0      [0,1,4] 	[0,4] 	[2,2,0,4,0]
6    59    26    0      1000   0      [2,3] 	[1,3] 	[4,0,0,4,0]
7    60    78    0      1000   0      [0,3,4] 	[0,1,2,3,4] 	[5,0,0,5,0]
8    3     61    0      1000   0      [1,2] 	[1,3] 	[3,3,0,2,0]
9    96    18    0      1000   0      [0,1] 	[0,1,2,3] 	[3,4,0,3,0]
10   53    2     0      1000   0      [1,2] 	[0,1,2,3] 	[3,5,0,2,0]
11   50    10    0      1000   0      [0,4] 	[0,2,3,4] 	[4,0,0,5,0]
12   3     12    0      1000   0      [0,3] 	[0,1,2,3] 	[3,0,0,4,0]
13   25    69    0      1000   0      [2,3] 	[1,3] 	[5,0,0,3,0]
14   41    49    0      974    10     [0] 	[0] 	[1,0,0,1,0]
15   35    17    0      972    10     [3] 	[1] 	[0,0,0,1,0]
16   55    45    0      967    10     [3] 	[1,2] 	[0,0,0,1,0]
17   55    20    620    860    10     [0] 	[0,2] 	[1,0,0,0,0]
18   15    30    0      969    10     [3] 	[2] 	[0,0,0,0,0]
19   25    30    0      978    10     [1] 	[1,3] 	[0,0,0,0,0]
20   20    50    0      968    10     [0] 	[2,3] 	[1,0,0,0,0]
21   10    43    323    563    10     [4] 	[3] 	[0,0,0,0,0]
22   55    60    329    569    10     [2] 	[3] 	[1,0,0,0,0]
23   30    60    0      964    10     [0] 	[3] 	[0,0,0,0,0]
24   20    65    146    386    10     [0] 	[0,2] 	[1,0,0,1,0]
25   50    35    0      975    10     [1] 	[] 	[0,1,0,1,0]
26   30    25    639    879    10     [1] 	[1] 	[0,0,0,1,0]
27   15    10    0      957    10     [1] 	[1] 	[0,0,0,1,0]
28   30    5     118    358    10     [0] 	[0,2] 	[1,0,0,1,0]
29   10    20    0      960    10     [2] 	[3] 	[0,0,0,0,0]
30   5     30    0      959    10     [4] 	[0,3] 	[0,0,0,1,0]
31   20    40    0      974    10     [4] 	[4] 	[0,0,0,1,0]
32   15    60    0      957    10     [2] 	[0,2] 	[0,0,0,0,0]
33   45    65    0      958    10     [4] 	[0,4] 	[0,0,0,1,0]
34   45    20    0      971    10     [4] 	[0,3] 	[0,0,0,1,0]
35   45    10    0      963    10     [4] 	[3] 	[0,0,0,1,0]
36   55    5     146    386    10     [0] 	[2,3] 	[1,0,0,0,0]
37   65    35    0      960    10     [2] 	[0,2] 	[0,0,0,0,0]
38   65    20    716    956    10     [0] 	[2,3] 	[1,0,0,0,0]
39   45    30    0      978    10     [3] 	[] 	[0,0,0,0,0]
40   35    40    0      985    10     [1] 	[0,1] 	[0,1,0,0,0]
41   41    37    0      983    10     [1] 	[] 	[0,0,0,0,0]
42   64    42    0      960    10     [1] 	[] 	[0,1,0,0,0]
43   40    60    0      964    10     [3] 	[] 	[0,0,0,0,0]
44   31    52    0      972    10     [3] 	[2] 	[0,0,0,1,0]
45   35    69    0      956    10     [4] 	[0,4] 	[0,0,0,0,0]
46   53    52    0      965    10     [4] 	[4] 	[0,0,0,0,0]
47   65    55    0      953    10     [1] 	[] 	[0,1,0,1,0]
48   63    65    0      948    10     [4] 	[3] 	[0,0,0,1,0]
49   2     60    0      948    10     [3] 	[2] 	[0,0,0,1,0]
50   20    20    0      968    10     [1] 	[0,1] 	[0,1,0,1,0]
51   5     5     234    474    10     [3] 	[] 	[0,0,0,1,0]
52   60    12    0      956    10     [1] 	[] 	[0,0,0,0,0]
53   40    25    0      978    10     [1] 	[1] 	[0,1,0,1,0]
54   42    7     0      961    10     [0] 	[3] 	[1,0,0,1,0]
55   24    12    0      964    10     [2] 	[2] 	[0,0,0,0,0]
56   23    3     0      955    10     [2] 	[2,3] 	[1,0,0,0,0]
57   11    14    167    407    10     [4] 	[0,3] 	[0,0,0,1,0]
58   6     38    0      960    10     [2] 	[] 	[0,0,0,0,0]
59   2     48    0      954    10     [1] 	[] 	[0,1,0,0,0]
60   8     56    0      955    10     [2] 	[] 	[0,0,0,0,0]
61   13    52    0      962    10     [3] 	[2] 	[0,0,0,0,0]
62   6     68    0      946    10     [3] 	[2] 	[0,0,0,1,0]
63   47    47    0      973    10     [4] 	[0,3] 	[0,0,0,0,0]
64   49    58    0      963    10     [1] 	[] 	[0,1,0,0,0]
65   27    43    0      978    10     [4] 	[3] 	[0,0,0,1,0]
66   37    31    332    572    10     [1] 	[] 	[0,0,0,1,0]
67   57    29    0      967    10     [2] 	[2] 	[1,0,0,0,0]
68   63    23    560    800    10     [1] 	[1,3] 	[0,1,0,1,0]
69   53    12    0      960    10     [3] 	[1,2] 	[0,0,0,1,0]
70   32    12    0      966    10     [0] 	[] 	[1,0,0,1,0]
71   36    26    740    980    10     [4] 	[] 	[0,0,0,1,0]
72   21    24    0      972    10     [0] 	[] 	[1,0,0,0,0]
73   17    34    0      971    10     [3] 	[1] 	[0,0,0,0,0]
