# Instance vrpnc13 - 60 dynamic requests - 60 static requests
Dyn   Stat
60    60
ID    RD
1     -1
6     -1
9     -1
10    -1
13    -1
15    -1
17    -1
19    -1
20    -1
25    -1
26    -1
27    -1
28    -1
30    -1
35    -1
37    -1
38    -1
39    -1
40    -1
46    -1
47    -1
48    -1
51    -1
52    -1
56    -1
57    -1
58    -1
59    -1
61    -1
64    -1
65    -1
67    -1
68    -1
70    -1
73    -1
74    -1
76    -1
77    -1
78    -1
83    -1
87    -1
89    -1
90    -1
92    -1
93    -1
96    -1
97    -1
98    -1
100   -1
101   -1
103   -1
104   -1
105   -1
107   -1
109   -1
111   -1
113   -1
116   -1
118   -1
120   -1
2     251
3     1
4     265
5     25
7     481
8     426
11    651
12    350
14    179
16    125
18    298
21    142
22    237
23    529
24    58
29    596
31    260
32    680
33    287
34    636
36    135
41    74
42    421
43    53
44    49
45    348
49    574
50    47
53    429
54    711
55    599
60    171
62    221
63    199
66    28
69    414
71    156
72    455
75    292
79    568
80    329
81    97
82    469
84    637
85    345
86    571
88    538
91    590
94    301
95    499
99    711
102   630
106   451
108   369
110   91
112   34
114   34
115   374
117   319
119   574
