# Instance vrpnc3 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
13    -1
24    -1
26    -1
29    -1
47    -1
55    -1
59    -1
72    -1
89    -1
91    -1
1     182
2     444
3     436
4     121
5     500
6     118
7     473
8     526
9     512
10    86
11    430
12    631
14    422
15    125
16    16
17    143
18    92
19    15
20    245
21    260
22    408
23    19
25    168
27    128
28    152
30    522
31    497
32    187
33    483
34    529
35    605
36    84
37    119
38    35
39    568
40    300
41    438
42    113
43    230
44    176
45    488
46    526
48    182
49    354
50    621
51    184
52    370
53    619
54    422
56    598
57    576
58    382
60    560
61    417
62    149
63    499
64    407
65    617
66    254
67    282
68    134
69    451
70    543
71    355
73    637
74    349
75    212
76    451
77    555
78    543
79    160
80    237
81    347
82    642
83    147
84    440
85    580
86    448
87    255
88    385
90    591
92    552
93    70
94    302
95    375
96    61
97    30
98    226
99    254
100   350
