# Instance vrpnc14 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
4     -1
10    -1
26    -1
33    -1
45    -1
68    -1
73    -1
80    -1
84    -1
90    -1
1     195
2     110
3     7
5     238
6     118
7     794
8     45
9     251
11    530
12    126
13    344
14    662
15    528
16    373
17    419
18    1029
19    786
20    944
21    81
22    911
23    690
24    28
25    649
27    444
28    475
29    232
30    214
31    957
32    566
34    133
35    293
36    467
37    781
38    919
39    636
40    713
41    969
42    746
43    924
44    315
46    363
47    363
48    588
49    372
50    896
51    609
52    435
53    301
54    680
55    381
56    878
57    725
58    580
59    98
60    240
61    180
62    110
63    24
64    367
65    177
66    795
67    697
69    425
70    677
71    393
72    705
74    908
75    577
76    391
77    492
78    455
79    996
81    698
82    277
83    446
85    114
86    415
87    796
88    98
89    913
91    971
92    283
93    575
94    335
95    218
96    169
97    320
98    736
99    325
100   307
