# Instance vrpnc6 - 45 dynamic requests - 5 static requests
Dyn   Stat
45    5
ID    RD
22    -1
28    -1
30    -1
47    -1
48    -1
1     181
2     198
3     67
4     190
5     180
6     110
7     95
8     85
9     76
10    154
11    44
12    45
13    12
14    27
15    74
16    95
17    59
18    146
19    42
20    72
21    180
23    8
24    136
25    93
26    55
27    61
29    82
31    15
32    182
33    31
34    92
35    46
36    92
37    125
38    162
39    18
40    76
41    74
42    135
43    10
44    78
45    43
46    8
49    13
50    200
