# Instance vrpnc6 - 25 dynamic requests - 25 static requests
Dyn   Stat
25    25
ID    RD
1     -1
2     -1
3     -1
6     -1
7     -1
12    -1
16    -1
17    -1
19    -1
21    -1
23    -1
24    -1
27    -1
28    -1
30    -1
33    -1
34    -1
36    -1
38    -1
41    -1
42    -1
43    -1
47    -1
48    -1
50    -1
4     176
5     112
8     23
9     64
10    153
11    39
13    79
14    147
15    139
18    133
20    131
22    53
25    182
26    167
29    177
31    23
32    38
35    47
37    7
39    33
40    2
44    30
45    54
46    99
49    68
