# Instance vrpnc8 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
1     -1
2     -1
3     -1
5     -1
6     -1
7     -1
8     -1
9     -1
13    -1
14    -1
15    -1
16    -1
22    -1
23    -1
24    -1
25    -1
26    -1
34    -1
36    -1
40    -1
41    -1
42    -1
44    -1
45    -1
48    -1
51    -1
52    -1
56    -1
61    -1
63    -1
64    -1
67    -1
68    -1
69    -1
70    -1
71    -1
72    -1
75    -1
76    -1
78    -1
80    -1
81    -1
82    -1
83    -1
88    -1
90    -1
92    -1
93    -1
97    -1
100   -1
4     46
10    140
11    77
12    174
17    201
18    218
19    99
20    211
21    162
27    217
28    56
29    199
30    206
31    176
32    151
33    106
35    186
37    230
38    4
39    85
43    211
46    101
47    211
49    117
50    99
53    16
54    201
55    188
57    44
58    69
59    101
60    62
62    5
65    212
66    48
73    101
74    44
77    27
79    185
84    172
85    121
86    120
87    127
89    23
91    150
94    87
95    169
96    34
98    44
99    36
