Technicians
Number of Technicians: 28
domains: 7
proficiency level: 4


ID	domain1	domain2	domain3	domain4	domain5 domain6 domain7
1	3	0	4	2	2	4	0
2	2	2	3	4	4	4	1
3	2	2	0	4	4	2	2
4	2	2	1	4	1	1	2
5	3	0	4	3	4	3	4
6	2	0	3	2	2	3	2
7	2	3	2	3	3	4	0
8	2	4	0	3	4	4	0
9	0	4	1	4	1	3	2
10	0	2	2	3	3	3	0
11	0	1	3	4	0	2	2
12	4	4	1	0	2	3	0
13	0	4	4	2	4	3	2
14	0	3	1	4	2	4	2
15	0	3	2	0	3	2	4
16	3	3	1	3	4	4	4
17	4	0	4	3	4	3	0
18	2	0	0	2	0	4	4
19	3	4	4	4	2	2	1
20	0	3	3	1	2	4	4
21	4	1	4	0	0	4	0
22	3	2	0	4	1	3	2
23	2	2	4	4	4	4	1
24	2	2	3	2	3	1	4
25	2	4	1	3	4	2	0
26	4	3	4	4	4	2	1
27	3	2	4	2	1	0	0
28	1	2	4	0	4	4	0



