30
1    0.1094   0.07617  12 24
2    0.8665    0.6796  22 34
3    0.8471    0.7031  12 24
4    0.1685    0.4731  22 34
5 0.0006714   0.09653  12 24
6    0.7719    0.5371  22 34
7    0.7244   0.08798  12 24
8    0.5199    0.2064  2 14
9     0.903    0.7456  22 34
10    0.5956    0.7342  12 24
11   0.07236    0.3591  22 34
12    0.8137    0.2721  2 14
13     0.635    0.6941  22 34
14    0.1512    0.9152  22 34
15    0.7295    0.1943  12 24
16    0.1225    0.7448  2 14
17    0.6338     0.234  12 24
18    0.4199     0.355  2 14
19    0.5977    0.4942  22 34
20     0.977    0.1448  12 24
21    0.1134    0.1774  2 14
22    0.3939    0.3028  12 24
23    0.4901    0.2162  12 24
24     0.621    0.5493  12 24
25    0.8115    0.9925  22 34
26   0.04721    0.9456  22 34
27    0.5496    0.4913  2 14
28    0.8148   0.05551  2 14
29    0.9175     0.394  22 34
30    0.4018   0.08435  12 24
 The overall mean of the demand for this small instance is 19.33
Locations for this instance are r
