20
1    0.5693    0.9067  2 16
2    0.1437    0.1171  2 16
3    0.6428   0.01108  6 18
4    0.6233    0.8296  2 14
5   0.08142    0.6972  6 18
6    0.5796    0.6686  2 14
7     0.203    0.7338  2 14
8    0.7455    0.4945  2 16
9    0.8745    0.7386  2 14
10    0.9344   0.01801  2 16
11     0.779    0.8903  6 18
12    0.6569    0.1353  2 16
13    0.7345   0.01291  2 14
14    0.6552    0.1622  2 14
15     0.917    0.2327  2 16
16    0.6491    0.8442  6 18
17     0.385    0.7587  6 18
18    0.7629    0.4771  2 14
19    0.4017   0.05411  6 18
20     0.524    0.2206  6 18
 The overall mean of the demand for this small instance is 9.7
Locations for this instance are r
