60
1    0.7613    0.6066  2 14
2    0.3171    0.4156  22 34
3    0.4101    0.5675  2 14
4    0.7214    0.4405  2 14
5    0.6046    0.4961  12 24
6    0.7042    0.4368  12 24
7    0.4767    0.6729  12 24
8    0.2881     0.122  22 34
9    0.1777    0.7593  22 34
10    0.3081    0.4502  12 24
11    0.6265    0.4067  2 14
12     0.288     0.886  2 14
13    0.2166    0.7737  2 14
14    0.5631     0.845  12 24
15     0.335    0.1353  22 34
16    0.7818    0.6536  12 24
17    0.3669    0.3204  22 34
18    0.9286    0.3505  22 34
19    0.5904    0.5066  22 34
20    0.1306    0.2961  2 14
21    0.1528    0.5534  12 24
22    0.3606    0.9948  22 34
23    0.2737    0.1857  22 34
24    0.3674    0.8956  22 34
25   0.07199     0.588  2 14
26    0.3559     0.347  22 34
27   0.08713    0.9445  22 34
28    0.7504    0.4601  2 14
29    0.7876    0.8017  22 34
30    0.4131    0.5109  12 24
31    0.2502     0.448  2 14
32    0.5914    0.8137  22 34
33    0.8837    0.4421  12 24
34    0.2519    0.8402  12 24
35    0.6825    0.5818  2 14
36    0.9532    0.8787  12 24
37    0.1539    0.6352  22 34
38    0.6374    0.8422  12 24
39    0.8909    0.6642  12 24
40    0.3105   0.06839  22 34
41    0.8928    0.3875  2 14
42    0.1505    0.2405  2 14
43    0.2813    0.3875  12 24
44    0.7668   0.01123  2 14
45    0.1574    0.6761  12 24
46    0.7498    0.6643  22 34
47    0.1123    0.8307  2 14
48    0.9221    0.3228  22 34
49    0.4679    0.2212  12 24
50    0.4687    0.9332  2 14
51    0.8109    0.3883  22 34
52    0.9845    0.6461  12 24
53    0.9172   0.03247  12 24
54   0.09003    0.4069  22 34
55    0.8673      0.96  2 14
56    0.2198    0.6771  12 24
57     0.157    0.3261  22 34
58    0.1439    0.3679  12 24
59   0.02982    0.2422  12 24
60    0.3327    0.3969  12 24
 The overall mean of the demand for this small instance is 18.67
Locations for this instance are r
