60
1   0.09213    0.6751  22 30
2    0.5651    0.4311  22 30
3    0.9313    0.3684  2 10
4    0.3471    0.1505  12 20
5    0.4095    0.6848  22 30
6     0.325     0.101  2 10
7    0.2924    0.9209  2 10
8    0.1695    0.2964  2 10
9    0.7408    0.1965  22 30
10    0.6127    0.8435  22 30
11    0.2159    0.7819  22 30
12    0.1624    0.6362  12 20
13    0.8499    0.3089  2 10
14    0.8398    0.3905  22 30
15    0.1824    0.9193  22 30
16     0.912    0.8495  2 10
17    0.2552    0.1151  12 20
18  0.006653    0.7466  2 10
19    0.8301     0.774  2 10
20    0.2748    0.2828  12 20
21   0.05542   0.09909  12 20
22   0.02383    0.5991  2 10
23    0.3948    0.8133  2 10
24    0.1136    0.1146  22 30
25    0.1643    0.3084  2 10
26   0.01266    0.7926  12 20
27    0.7307    0.3455  22 30
28    0.3725    0.5065  22 30
29    0.4217    0.8952  22 30
30    0.9275    0.8367  12 20
31    0.6293    0.4366  12 20
32   0.08279    0.9595  2 10
33    0.5502    0.1206  2 10
34    0.3442    0.9154  2 10
35    0.6566    0.2754  2 10
36     0.395    0.5941  22 30
37    0.4268    0.4156  2 10
38    0.7584    0.3677  2 10
39    0.2258    0.8288  12 20
40    0.2292    0.5732  12 20
41    0.6374    0.5925  2 10
42    0.2369    0.1073  2 10
43    0.1256    0.1323  22 30
44     0.639    0.3859  12 20
45    0.7832    0.8002  2 10
46    0.7674    0.9506  22 30
47    0.2224   0.05908  22 30
48    0.4816    0.2121  2 10
49    0.5081    0.3175  2 10
50    0.1477    0.3217  22 30
51    0.5546     0.911  22 30
52    0.4887   0.08487  2 10
53    0.7153    0.7784  12 20
54     0.761    0.3031  12 20
55    0.5389     0.676  12 20
56     0.331   0.07144  12 20
57     0.942    0.9218  12 20
58   0.07904    0.5005  22 30
59    0.5062    0.2947  12 20
60    0.7713    0.1899  22 30
 The overall mean of the demand for this small instance is 15.5
Locations for this instance are r
