60
1    0.5449    0.6347  22 30
2    0.1276    0.5449  12 20
3    0.2987    0.8656  2 10
4      0.18      0.76  2 10
5    0.9572    0.7769  22 30
6    0.7894    0.6511  2 10
7    0.8752      0.75  22 30
8    0.9823    0.4031  22 30
9    0.2886    0.5028  22 30
10    0.9358    0.8159  12 20
11    0.6715     0.732  22 30
12    0.6274   0.05453  22 30
13   0.07394    0.2211  22 30
14     0.983     0.935  12 20
15    0.8427    0.9567  22 30
16    0.9174    0.3153  12 20
17     0.354    0.1117  2 10
18    0.4892     0.673  12 20
19    0.9792    0.9904  22 30
20    0.5222    0.5656  2 10
21   0.07153    0.3126  12 20
22    0.5911    0.0293  22 30
23    0.9487    0.6691  12 20
24    0.3665    0.6794  12 20
25     0.258    0.7347  22 30
26    0.0831    0.9758  12 20
27    0.3888    0.9956  22 30
28    0.4555    0.4224  22 30
29    0.3553    0.4717  22 30
30    0.8574   0.01141  2 10
31    0.4435    0.3047  22 30
32    0.1089     0.623  12 20
33    0.5162    0.2742  2 10
34    0.9243    0.9754  12 20
35    0.8382     0.414  22 30
36     0.073    0.7148  12 20
37    0.2261    0.0582  12 20
38    0.7318    0.9651  2 10
39    0.8856    0.9808  22 30
40    0.4765    0.7401  12 20
41   0.09213    0.9138  2 10
42  0.001953    0.7005  12 20
43    0.5172     0.782  2 10
44    0.1028    0.4113  12 20
45    0.1411    0.5865  12 20
46    0.8042    0.1797  12 20
47    0.9346    0.1367  12 20
48    0.9438    0.3217  22 30
49    0.4714     0.896  2 10
50   0.08347    0.9697  12 20
51    0.9724    0.1903  2 10
52    0.5073    0.9016  2 10
53    0.6016   0.06512  12 20
54    0.3625    0.9747  22 30
55    0.7693    0.2788  12 20
56    0.8431     0.211  22 30
57     0.361    0.4241  12 20
58    0.8359   0.02795  2 10
59     0.838   0.09167  12 20
60    0.7608    0.1651  22 30
 The overall mean of the demand for this small instance is 17.33
Locations for this instance are r
