60
1    0.7631    0.1736  12 20
2    0.3747    0.8369  2 10
3    0.8754    0.1932  2 10
4    0.8049    0.4117  22 30
5   0.02655    0.1677  12 20
6    0.3897    0.7697  22 30
7    0.2941    0.2655  22 30
8    0.9239    0.5174  12 20
9    0.2779  0.008087  2 10
10    0.4438    0.1847  22 30
11   0.06528    0.4338  22 30
12    0.7629    0.0379  2 10
13   0.08035    0.2644  12 20
14    0.8315    0.6982  12 20
15    0.2267    0.5981  2 10
16    0.1591    0.6063  12 20
17    0.2249    0.1747  22 30
18    0.1898    0.4064  12 20
19    0.2753    0.5698  2 10
20     0.357    0.8276  2 10
21    0.7657    0.9135  22 30
22    0.6643    0.2625  2 10
23    0.3129  0.009735  2 10
24    0.1956    0.5947  2 10
25    0.6124     0.191  2 10
26   0.04587    0.5421  2 10
27    0.9833    0.9917  2 10
28    0.9372    0.4763  12 20
29    0.7728    0.8995  22 30
30    0.3464    0.9902  2 10
31    0.5439     0.163  2 10
32    0.4571   0.02103  2 10
33    0.8392   0.02905  22 30
34    0.7833    0.7429  2 10
35    0.9159    0.9689  22 30
36   0.01492    0.3211  12 20
37    0.8132    0.5684  2 10
38    0.6406    0.6195  2 10
39   0.05646    0.9101  2 10
40    0.3231    0.6799  12 20
41    0.8621    0.6111  22 30
42    0.9761    0.8763  12 20
43    0.4975    0.3024  12 20
44     0.134    0.7265  12 20
45       0.1    0.3864  22 30
46    0.6423   0.01743  2 10
47    0.3939    0.5073  12 20
48   0.06296    0.8216  2 10
49    0.9892     0.431  2 10
50    0.5913    0.7566  2 10
51    0.9247    0.1017  22 30
52    0.8665   0.09729  12 20
53    0.4533    0.6239  2 10
54    0.9311    0.7221  12 20
55    0.3931    0.9556  2 10
56    0.8945    0.9765  22 30
57    0.2978    0.2999  22 30
58    0.7031 0.0005188  12 20
59    0.8654    0.6874  2 10
60    0.9343    0.5142  22 30
 The overall mean of the demand for this small instance is 14.17
Locations for this instance are r
