100
1    0.5314    0.1853  2 10
2    0.9373    0.3298  22 30
3    0.6456    0.7641  22 30
4    0.1851    0.3409  22 30
5    0.9553    0.5694  2 10
6    0.5425     0.773  2 10
7     0.955    0.8553  22 30
8    0.3731    0.1992  22 30
9    0.8098   0.02377  2 10
10    0.7668    0.1761  12 20
11    0.9586    0.7657  22 30
12    0.8869    0.5731  12 20
13    0.7686   0.07736  22 30
14    0.7757    0.6847  12 20
15   0.02466    0.5543  2 10
16    0.7021     0.619  2 10
17    0.2431    0.7423  22 30
18     0.599   0.07788  12 20
19    0.3008    0.8245  12 20
20    0.5826     0.293  22 30
21    0.7945    0.1499  12 20
22     0.606    0.7184  2 10
23   0.01505    0.6965  2 10
24    0.5875    0.2044  2 10
25    0.5655    0.1344  2 10
26    0.5056    0.9265  12 20
27    0.5906    0.3376  2 10
28    0.5881    0.4397  22 30
29     0.446    0.6068  22 30
30    0.4657     0.996  22 30
31    0.5443     0.142  22 30
32    0.6388    0.8259  2 10
33    0.1959   0.06448  2 10
34    0.4461     0.573  12 20
35    0.6371    0.1549  22 30
36    0.5441    0.6028  22 30
37    0.2405    0.0788  22 30
38    0.3372    0.6128  12 20
39    0.2445    0.8347  12 20
40    0.4681    0.9711  12 20
41    0.3589    0.1048  22 30
42    0.9993    0.6372  12 20
43    0.4175    0.7469  2 10
44    0.9277    0.4872  22 30
45    0.9839    0.4572  12 20
46    0.7964    0.5089  12 20
47    0.6012    0.2827  22 30
48   0.01462    0.7722  22 30
49    0.3312    0.7966  22 30
50    0.7177    0.4415  12 20
51    0.4797    0.9978  22 30
52    0.1896    0.5033  12 20
53   0.07874     0.968  12 20
54    0.6806    0.4656  2 10
55    0.9184    0.6634  2 10
56    0.4932    0.1586  22 30
57    0.8122    0.5376  12 20
58     0.109    0.0686  22 30
59    0.4691    0.6237  22 30
60    0.5152    0.4812  2 10
61     0.958    0.8706  12 20
62    0.3814    0.2262  12 20
63    0.4088    0.5544  12 20
64     0.969    0.1338  12 20
65    0.4206   0.09305  12 20
66    0.2408    0.5461  2 10
67    0.7811     0.215  22 30
68    0.2117     0.511  2 10
69    0.6437    0.7828  22 30
70    0.7626    0.7419  22 30
71    0.4077    0.2887  2 10
72    0.5567    0.1783  12 20
73     0.315    0.7328  12 20
74    0.9715    0.1546  12 20
75    0.3391    0.9048  22 30
76    0.7198    0.9075  22 30
77    0.4304    0.6296  2 10
78    0.7034    0.5433  22 30
79    0.7139    0.9355  2 10
80    0.2446    0.7763  2 10
81    0.9404    0.9929  22 30
82    0.8054    0.8611  22 30
83    0.4956    0.6621  22 30
84    0.2502    0.3003  2 10
85    0.6938    0.2173  12 20
86    0.2662    0.2364  22 30
87   0.05383     0.905  2 10
88    0.3439   0.06848  12 20
89    0.8993   0.06247  12 20
90    0.3735    0.8781  22 30
91   0.06094     0.209  12 20
92   0.04544    0.8481  22 30
93    0.8243    0.4331  12 20
94    0.4894    0.1234  22 30
95    0.6716    0.1797  22 30
96    0.5628    0.6294  2 10
97    0.9474    0.7951  22 30
98     0.539    0.3468  22 30
99    0.4545    0.5642  2 10
100    0.2669     0.579  12 20
 The overall mean of the demand for this small instance is 17.4
Locations for this instance are r
