  0   50  102    0  960  960  960    0    0 0
  1   33   26    0   30   50   80   10    0 0
  2   50   21    0   30   50   80   10    0 0
  3   67   26    0   30   50   80   10    0 0
  4   78   41    0   30   50   80   10    0 0
  5   79   59    0   30   50   80   10    0 0
  6   68   74    0   30   50   80   10    0 0
  7   50   80    0   30   50   80   10    0 0
  8   33   74    0   30   50   80   10    0 0
  9   22   60    0   30   50   80   10    0 0
 10   22   41    0   30   50   80   10    0 0
 11   29   23    0   30   50   80   10    0 0
 12   49   16    0   30   50   80   10    0 0
 13   69   21    0   30   50   80   10    0 0
 14   83   38    0   30   50   80   10    0 0
 15   84   59    0   30   50   80   10    0 0
 16   72   77    0   30   50   80   10    0 0
 17   51   85    0   30   50   80   10    0 0
 18   31   79    0   30   50   80   10    0 0
 19   18   62    0   30   50   80   10    0 0
 20   17   41    0   30   50   80   10    0 0
 21   31   22    0   30   50   80   10    0 0
 22   51   16    0   30   50   80   10    0 0
 23   71   23    0   30   50   80   10    0 0
 24   84   41    0   30   50   80   10    0 0
 25   83   62    0   30   50   80   10    0 0
 26   70   79    0   30   50   80   10    0 0
 27   49   85    0   30   50   80   10    0 0
 28   29   78    0   30   50   80   10    0 0
 29   17   60    0   30   50   80   10    0 0
 30   18   39    0   30   50   80   10    0 0
 31   25   20    0   30   50   80   10    0 0
 32   47   11    0   30   50   80   10    0 0
 33   71   16    0   30   50   80   10    0 0
 34   87   35    0   30   50   80   10    0 0
 35   89   59    0   30   50   80   10    0 0
 36   76   80    0   30   50   80   10    0 0
 37   53   90    0   30   50   80   10    0 0
 38   30   84    0   30   50   80   10    0 0
 39   14   65    0   30   50   80   10    0 0
 40   12   41    0   30   50   80   10    0 0
 41   27   18    0   30   50   80   10    0 0
 42   50   11    0   30   50   80   10    0 0
 43   73   18    0   30   50   80   10    0 0
 44   88   38    0   30   50   80   10    0 0
 45   88   62    0   30   50   80   10    0 0
 46   74   82    0   30   50   80   10    0 0
 47   50   90    0   30   50   80   10    0 0
 48   27   83    0   30   50   80   10    0 0
 49   13   63    0   30   50   80   10    0 0
 50   12   38    0   30   50   80   10    0 0
 51   29   17    0   30   50   80   10    0 0
 52   52   11    0   30   50   80   10    0 0
 53   75   20    0   30   50   80   10    0 0
 54   89   41    0   30   50   80   10    0 0
 55   87   65    0   30   50   80   10    0 0
 56   71   84    0   30   50   80   10    0 0
 57   48   90    0   30   50   80   10    0 0
 58   25   81    0   30   50   80   10    0 0
 59   12   60    0   30   50   80   10    0 0
 60   13   36    0   30   50   80   10    0 0
 61   20   17    0   30   50   80   10    0 0
 62   45    6    0   30   50   80   10    0 0
 63   72   11    0   30   50   80   10    0 0
 64   91   32    0   30   50   80   10    0 0
 65   94   59    0   30   50   80   10    0 0
 66   80   83    0   30   50   80   10    0 0
 67   55   95    0   30   50   80   10    0 0
 68   28   89    0   30   50   80   10    0 0
 69   10   69    0   30   50   80   10    0 0
 70    6   42    0   30   50   80   10    0 0
 71   22   15    0   30   50   80   10    0 0
 72   48    6    0   30   50   80   10    0 0
 73   75   13    0   30   50   80   10    0 0
 74   92   35    0   30   50   80   10    0 0
 75   93   62    0   30   50   80   10    0 0
 76   78   85    0   30   50   80   10    0 0
 77   52   95    0   30   50   80   10    0 0
 78   26   88    0   30   50   80   10    0 0
 79    8   66    0   30   50   80   10    0 0
 80    7   38    0   30   50   80   10    0 0
 81   25   13    0   30   50   80   10    0 0
 82   51    6    0   30   50   80   10    0 0
 83   77   15    0   30   50   80   10    0 0
 84   93   38    0   30   50   80   10    0 0
 85   92   65    0   30   50   80   10    0 0
 86   75   87    0   30   50   80   10    0 0
 87   49   95    0   30   50   80   10    0 0
 88   23   86    0   30   50   80   10    0 0
 89    7   63    0   30   50   80   10    0 0
 90    8   35    0   30   50   80   10    0 0
 91   28   12    0   30   50   80   10    0 0
 92   54    6    0   30   50   80   10    0 0
 93   80   17    0   30   50   80   10    0 0
 94   94   41    0   30   50   80   10    0 0
 95   91   68    0   30   50   80   10    0 0
 96   73   89    0   30   50   80   10    0 0
 97   46   95    0   30   50   80   10    0 0
 98   21   84    0   30   50   80   10    0 0
 99    7   60    0   30   50   80   10    0 0
100    9   33    0   30   50   80   10    0 0
