# Instance C208 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
2     -1
4     -1
5     -1
9     -1
11    -1
12    -1
15    -1
17    -1
19    -1
20    -1
21    -1
22    -1
24    -1
26    -1
31    -1
32    -1
33    -1
35    -1
38    -1
41    -1
42    -1
43    -1
45    -1
46    -1
51    -1
55    -1
58    -1
60    -1
61    -1
62    -1
63    -1
64    -1
66    -1
67    -1
70    -1
75    -1
78    -1
79    -1
81    -1
82    -1
84    -1
86    -1
88    -1
90    -1
91    -1
92    -1
93    -1
95    -1
99    -1
100   -1
1     70
3     853
6     254
7     345
8     793
10    519
13    813
14    52
16    693
18    1341
23    1065
25    198
27    16
28    702
29    101
30    32
34    607
36    880
37    290
39    246
40    266
44    1478
47    1758
48    1761
49    305
50    734
52    1835
53    766
54    412
56    214
57    753
59    162
65    458
68    194
69    39
71    1003
72    55
73    1923
74    12
76    247
77    1428
80    695
83    1476
85    1140
87    2211
89    437
94    76
96    1408
97    86
98    603
