# Instance R210 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
2     -1
4     -1
5     -1
6     -1
7     -1
8     -1
9     -1
12    -1
15    -1
19    -1
21    -1
24    -1
28    -1
29    -1
31    -1
44    -1
48    -1
52    -1
56    -1
57    -1
58    -1
59    -1
65    -1
70    -1
78    -1
79    -1
86    -1
92    -1
97    -1
99    -1
1     140
3     53
10    221
11    200
13    146
14    21
16    70
17    230
18    94
20    240
22    151
23    62
25    248
26    305
27    1
30    115
32    257
33    10
34    176
35    186
36    9
37    100
38    114
39    21
40    246
41    166
42    16
43    149
45    20
46    205
47    6
49    56
50    183
51    51
53    21
54    238
55    202
60    92
61    5
62    52
63    3
64    9
66    450
67    261
68    123
69    68
71    85
72    21
73    69
74    283
75    23
76    252
77    68
80    68
81    193
82    10
83    7
84    65
85    75
87    184
88    211
89    186
90    61
91    52
93    234
94    175
95    1
96    217
98    8
100   526
