# Instance R102 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
1     -1
2     -1
3     -1
4     -1
5     -1
6     -1
7     -1
10    -1
12    -1
13    -1
14    -1
16    -1
19    -1
20    -1
21    -1
24    -1
26    -1
29    -1
31    -1
34    -1
35    -1
37    -1
38    -1
40    -1
41    -1
42    -1
43    -1
44    -1
46    -1
47    -1
48    -1
49    -1
51    -1
52    -1
53    -1
54    -1
55    -1
56    -1
57    -1
58    -1
59    -1
60    -1
61    -1
63    -1
64    -1
67    -1
70    -1
72    -1
73    -1
75    -1
76    -1
77    -1
78    -1
79    -1
80    -1
81    -1
82    -1
83    -1
84    -1
87    -1
88    -1
89    -1
91    -1
92    -1
93    -1
95    -1
97    -1
98    -1
99    -1
100   -1
8     71
9     86
11    55
15    31
17    53
18    24
22    67
23    52
25    27
27    22
28    5
30    11
32    14
33    5
36    17
39    24
45    21
50    8
62    46
65    38
66    36
68    117
69    44
71    47
74    138
85    4
86    20
90    1
94    21
96    3
