# Instance C106 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
2     -1
5     -1
6     -1
8     -1
12    -1
13    -1
19    -1
20    -1
22    -1
24    -1
26    -1
34    -1
35    -1
37    -1
39    -1
42    -1
43    -1
44    -1
46    -1
48    -1
50    -1
51    -1
52    -1
54    -1
55    -1
56    -1
58    -1
59    -1
63    -1
66    -1
67    -1
68    -1
72    -1
74    -1
75    -1
78    -1
79    -1
80    -1
81    -1
82    -1
83    -1
84    -1
85    -1
86    -1
87    -1
93    -1
96    -1
98    -1
99    -1
100   -1
1     35
3     42
4     338
7     146
9     352
10    186
11    160
14    415
15    234
16    30
17    77
18    72
21    450
23    341
25    166
27    36
28    430
29    355
30    305
31    192
32    24
33    25
36    281
38    350
40    136
41    21
45    35
47    50
49    557
53    147
57    32
60    114
61    185
62    169
64    227
65    20
69    595
70    114
71    100
73    239
76    127
77    304
88    156
89    139
90    3
91    121
92    77
94    213
95    13
97    462
