# Instance R202 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
1     -1
2     -1
3     -1
5     -1
7     -1
9     -1
10    -1
11    -1
12    -1
14    -1
16    -1
17    -1
18    -1
19    -1
21    -1
22    -1
23    -1
24    -1
25    -1
26    -1
28    -1
29    -1
30    -1
31    -1
32    -1
34    -1
35    -1
36    -1
37    -1
40    -1
41    -1
42    -1
43    -1
44    -1
48    -1
51    -1
54    -1
57    -1
58    -1
59    -1
60    -1
61    -1
62    -1
63    -1
64    -1
65    -1
67    -1
68    -1
69    -1
71    -1
72    -1
73    -1
74    -1
77    -1
79    -1
80    -1
81    -1
83    -1
84    -1
86    -1
89    -1
90    -1
91    -1
92    -1
93    -1
94    -1
95    -1
96    -1
97    -1
99    -1
4     382
6     45
8     259
13    635
15    27
20    14
27    28
33    40
38    11
39    12
45    9
46    199
47    82
49    387
50    121
52    112
53    278
55    167
56    54
66    477
70    190
75    116
76    149
78    324
82    117
85    11
87    146
88    75
98    56
100   734
