# Instance R110 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
2     -1
5     -1
27    -1
28    -1
30    -1
69    -1
70    -1
79    -1
92    -1
95    -1
1     89
3     36
4     61
6     25
7     48
8     12
9     19
10    97
11    11
12    31
13    26
14    10
15    27
16    27
17    17
18    2
19    44
20    57
21    6
22    20
23    23
24    19
25    4
26    32
29    19
31    17
32    22
33    8
34    93
35    42
36    36
37    17
38    11
39    2
40    9
41    11
42    6
43    12
44    27
45    9
46    56
47    17
48    50
49    68
50    77
51    22
52    20
53    4
54    48
55    19
56    61
57    50
58    57
59    3
60    56
61    40
62    6
63    31
64    7
65    12
66    48
67    11
68    15
71    41
72    10
73    15
74    4
75    24
76    5
77    14
78    21
80    24
81    60
82    24
83    12
84    29
85    6
86    39
87    57
88    15
89    107
90    21
91    24
93    37
94    35
96    35
97    85
98    26
99    30
100   15
