# Instance C207 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
1     -1
4     -1
5     -1
8     -1
9     -1
10    -1
11    -1
12    -1
13    -1
15    -1
17    -1
19    -1
22    -1
24    -1
25    -1
27    -1
28    -1
29    -1
30    -1
34    -1
37    -1
39    -1
41    -1
45    -1
50    -1
51    -1
52    -1
53    -1
54    -1
59    -1
61    -1
62    -1
63    -1
64    -1
65    -1
66    -1
69    -1
71    -1
73    -1
75    -1
77    -1
78    -1
80    -1
81    -1
84    -1
85    -1
89    -1
93    -1
95    -1
100   -1
2     100
3     481
6     70
7     369
14    1267
16    1253
18    176
20    5
21    57
23    759
26    183
31    274
32    124
33    166
35    88
36    120
38    412
40    356
42    747
43    697
44    1071
46    63
47    552
48    249
49    450
55    847
56    1043
57    1281
58    579
60    1093
67    11
68    465
70    779
72    76
74    37
76    1455
79    500
82    1815
83    1641
86    618
87    124
88    848
90    2165
91    1025
92    417
94    322
96    1695
97    116
98    373
99    258
