# Instance RC104 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
1     -1
3     -1
5     -1
6     -1
7     -1
10    -1
12    -1
14    -1
24    -1
26    -1
29    -1
31    -1
33    -1
35    -1
40    -1
44    -1
46    -1
51    -1
53    -1
60    -1
67    -1
69    -1
71    -1
78    -1
81    -1
87    -1
88    -1
95    -1
97    -1
99    -1
2     25
4     102
8     43
9     2
11    18
13    27
15    53
16    3
17    16
18    8
19    27
20    19
21    11
22    6
23    33
25    117
27    18
28    2
30    16
32    18
34    4
36    26
37    9
38    47
39    18
41    26
42    22
43    25
45    5
47    20
48    25
49    15
50    12
52    29
54    25
55    106
56    9
57    14
58    26
59    7
61    18
62    25
63    11
64    11
65    24
66    14
68    5
70    8
72    28
73    16
74    39
75    28
76    52
77    16
79    2
80    0
82    9
83    4
84    63
85    28
86    7
89    4
90    3
91    7
92    9
93    10
94    16
96    19
98    5
100   156
