# Instance RC106 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
1     -1
4     -1
6     -1
7     -1
8     -1
9     -1
15    -1
16    -1
18    -1
21    -1
22    -1
23    -1
24    -1
26    -1
28    -1
29    -1
31    -1
33    -1
34    -1
35    -1
36    -1
38    -1
39    -1
40    -1
41    -1
44    -1
48    -1
51    -1
54    -1
60    -1
62    -1
65    -1
66    -1
67    -1
68    -1
69    -1
71    -1
72    -1
73    -1
74    -1
79    -1
81    -1
82    -1
83    -1
86    -1
91    -1
92    -1
93    -1
94    -1
98    -1
2     32
3     37
5     5
10    46
11    34
12    35
13    92
14    3
17    96
19    55
20    65
25    62
27    40
30    7
32    7
37    64
42    31
43    7
45    7
46    93
47    9
49    56
50    84
52    17
53    57
55    30
56    91
57    73
58    116
59    9
61    3
63    30
64    17
70    113
75    22
76    51
77    22
78    33
80    2
84    43
85    17
87    25
88    15
89    4
90    17
95    7
96    27
97    59
99    35
100   31
