# Instance C207 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
24    -1
25    -1
27    -1
28    -1
53    -1
62    -1
63    -1
64    -1
78    -1
93    -1
1     141
2     100
3     481
4     1099
5     4
6     70
7     369
8     975
9     100
10    562
11    240
12    310
13    1312
14    1267
15    1547
16    1253
17    756
18    176
19    710
20    5
21    57
22    2
23    759
26    183
29    228
30    45
31    274
32    124
33    166
34    198
35    88
36    120
37    165
38    412
39    93
40    356
41    234
42    747
43    697
44    1071
45    72
46    63
47    552
48    249
49    450
50    20
51    1737
52    763
54    112
55    847
56    1043
57    1281
58    579
59    1057
60    1093
61    125
65    611
66    138
67    11
68    465
69    84
70    779
71    1418
72    76
73    907
74    37
75    4
76    1455
77    576
79    500
80    575
81    1101
82    1815
83    1641
84    745
85    1763
86    618
87    124
88    848
89    364
90    2165
91    1025
92    417
94    322
95    67
96    1695
97    116
98    373
99    258
100   61
