# Instance C106 - 90 dynamic requests - 10 static requests
Dyn   Stat
90    10
ID    RD
5     -1
13    -1
20    -1
42    -1
43    -1
67    -1
74    -1
78    -1
87    -1
98    -1
1     35
2     569
3     42
4     338
6     223
7     146
8     120
9     352
10    186
11    160
12    616
14    415
15    234
16    30
17    77
18    72
19    253
21    450
22    603
23    341
24    36
25    166
26    307
27    36
28    430
29    355
30    305
31    192
32    24
33    25
34    73
35    237
36    281
37    350
38    350
39    22
40    136
41    21
44    98
45    35
46    293
47    50
48    405
49    557
50    647
51    632
52    679
53    147
54    97
55    18
56    326
57    32
58    71
59    426
60    114
61    185
62    169
63    53
64    227
65    20
66    19
68    430
69    595
70    114
71    100
72    44
73    239
75    389
76    127
77    304
79    532
80    386
81    34
82    253
83    1
84    20
85    116
86    38
88    156
89    139
90    3
91    121
92    77
93    125
94    213
95    13
96    4
97    462
99    164
100   236
