# Instance C102 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
1     -1
2     -1
3     -1
4     -1
5     -1
7     -1
10    -1
11    -1
12    -1
13    -1
14    -1
16    -1
18    -1
19    -1
21    -1
22    -1
23    -1
24    -1
25    -1
26    -1
29    -1
30    -1
32    -1
34    -1
36    -1
38    -1
41    -1
42    -1
43    -1
44    -1
45    -1
46    -1
47    -1
48    -1
51    -1
53    -1
54    -1
55    -1
56    -1
58    -1
59    -1
60    -1
62    -1
64    -1
65    -1
66    -1
68    -1
69    -1
70    -1
71    -1
73    -1
75    -1
77    -1
78    -1
81    -1
82    -1
83    -1
85    -1
86    -1
87    -1
88    -1
89    -1
91    -1
93    -1
94    -1
95    -1
96    -1
98    -1
99    -1
100   -1
6     300
8     225
9     204
15    76
17    55
20    4
27    96
28    210
31    16
33    9
35    201
37    103
39    9
40    40
49    732
50    15
52    49
57    33
61    487
63    75
67    1
72    108
74    158
76    114
79    546
80    567
84    154
90    133
92    58
97    119
