# Instance R205 - 50 dynamic requests - 50 static requests
Dyn   Stat
50    50
ID    RD
2     -1
3     -1
4     -1
5     -1
6     -1
10    -1
12    -1
13    -1
14    -1
15    -1
17    -1
21    -1
23    -1
24    -1
25    -1
27    -1
28    -1
29    -1
31    -1
33    -1
35    -1
39    -1
41    -1
42    -1
43    -1
52    -1
53    -1
54    -1
55    -1
58    -1
59    -1
60    -1
62    -1
63    -1
64    -1
65    -1
67    -1
68    -1
72    -1
73    -1
77    -1
78    -1
81    -1
84    -1
90    -1
92    -1
94    -1
95    -1
97    -1
99    -1
1     556
7     159
8     95
9     234
11    76
16    15
18    213
19    42
20    86
22    92
26    211
30    76
32    266
34    389
36    3
37    259
38    135
40    264
44    63
45    6
46    117
47    45
48    705
49    267
50    248
51    220
56    498
57    157
61    81
66    35
69    83
70    678
71    21
74    605
75    120
76    172
79    183
80    357
82    86
83    23
85    94
86    105
87    109
88    83
89    139
91    51
93    424
96    319
98    1
100   212
