# Instance R108 - 30 dynamic requests - 70 static requests
Dyn   Stat
30    70
ID    RD
1     -1
4     -1
5     -1
6     -1
7     -1
9     -1
11    -1
12    -1
13    -1
14    -1
15    -1
16    -1
17    -1
18    -1
19    -1
23    -1
24    -1
25    -1
27    -1
28    -1
29    -1
31    -1
32    -1
33    -1
34    -1
36    -1
37    -1
39    -1
40    -1
41    -1
42    -1
44    -1
45    -1
48    -1
49    -1
51    -1
52    -1
53    -1
54    -1
55    -1
57    -1
58    -1
59    -1
60    -1
63    -1
64    -1
65    -1
66    -1
67    -1
68    -1
70    -1
71    -1
73    -1
74    -1
78    -1
79    -1
82    -1
84    -1
85    -1
89    -1
90    -1
91    -1
92    -1
93    -1
94    -1
95    -1
96    -1
97    -1
98    -1
100   -1
2     5
3     24
8     82
10    13
20    7
21    19
22    23
26    10
30    9
35    5
38    24
43    8
46    1
47    17
50    0
56    7
61    4
62    15
69    2
72    8
75    19
76    51
77    60
80    15
81    17
83    5
86    14
87    3
88    16
99    62
