# Instance RC107 - 70 dynamic requests - 30 static requests
Dyn   Stat
70    30
ID    RD
4     -1
5     -1
7     -1
11    -1
19    -1
20    -1
22    -1
24    -1
32    -1
34    -1
36    -1
37    -1
39    -1
40    -1
42    -1
43    -1
55    -1
56    -1
58    -1
65    -1
67    -1
69    -1
70    -1
72    -1
80    -1
82    -1
83    -1
88    -1
91    -1
95    -1
1     50
2     6
3     22
6     51
8     16
9     3
10    1
12    33
13    37
14    4
15    27
16    13
17    20
18    52
21    39
23    14
25    45
26    76
27    42
28    40
29    35
30    47
31    32
33    43
35    39
38    16
41    14
44    1
45    33
46    72
47    31
48    10
49    70
50    69
51    47
52    32
53    15
54    12
57    66
59    24
60    91
61    47
62    1
63    21
64    13
66    56
68    32
71    33
73    61
74    56
75    51
76    35
77    5
78    24
79    3
81    79
84    58
85    68
86    36
87    22
89    19
90    72
92    3
93    10
94    50
96    102
97    58
98    25
99    20
100   4
